date,Sports_US
2018-01-07,72
2018-01-14,70
2018-01-21,72
2018-01-28,72
2018-02-04,80
2018-02-11,79
2018-02-18,78
2018-02-25,72
2018-03-04,70
2018-03-11,72
2018-03-18,68
2018-03-25,69
2018-04-01,69
2018-04-08,69
2018-04-15,68
2018-04-22,70
2018-04-29,68
2018-05-06,72
2018-05-13,73
2018-05-20,68
2018-05-27,71
2018-06-03,71
2018-06-10,69
2018-06-17,68
2018-06-24,65
2018-07-01,68
2018-07-08,62
2018-07-15,64
2018-07-22,61
2018-07-29,63
2018-08-05,66
2018-08-12,69
2018-08-19,70
2018-08-26,73
2018-09-02,76
2018-09-09,75
2018-09-16,75
2018-09-23,72
2018-09-30,76
2018-10-07,73
2018-10-14,72
2018-10-21,74
2018-10-28,68
2018-11-04,68
2018-11-11,70
2018-11-18,73
2018-11-25,70
2018-12-02,71
2018-12-09,74
2018-12-16,72
2018-12-23,68
2018-12-30,68
2019-01-06,71
2019-01-13,70
2019-01-20,71
2019-01-27,67
2019-02-03,72
2019-02-10,67
2019-02-17,69
2019-02-24,70
2019-03-03,70
2019-03-10,72
2019-03-17,74
2019-03-24,73
2019-03-31,69
2019-04-07,72
2019-04-14,69
2019-04-21,70
2019-04-28,72
2019-05-05,73
2019-05-12,70
2019-05-19,68
2019-05-26,70
2019-06-02,68
2019-06-09,72
2019-06-16,67
2019-06-23,63
2019-06-30,65
2019-07-07,64
2019-07-14,60
2019-07-21,63
2019-07-28,63
2019-08-04,68
2019-08-11,69
2019-08-18,72
2019-08-25,77
2019-09-01,78
2019-09-08,80
2019-09-15,78
2019-09-22,78
2019-09-29,86
2019-10-06,100
2019-10-13,100
2019-10-20,98
2019-10-27,97
2019-11-03,96
2019-11-10,92
2019-11-17,90
2019-11-24,96
2019-12-01,92
2019-12-08,90
2019-12-15,87
2019-12-22,91
2019-12-29,93
2020-01-05,87
2020-01-12,97
2020-01-19,88
2020-01-26,86
2020-02-02,94
2020-02-09,81
2020-02-16,81
2020-02-23,83
2020-03-01,83
2020-03-08,80
