date,Arts_DK
2018-01-07,77
2018-01-14,86
2018-01-21,77
2018-01-28,85
2018-02-04,73
2018-02-11,89
2018-02-18,85
2018-02-25,87
2018-03-04,85
2018-03-11,82
2018-03-18,87
2018-03-25,86
2018-04-01,79
2018-04-08,71
2018-04-15,88
2018-04-22,72
2018-04-29,77
2018-05-06,74
2018-05-13,73
2018-05-20,92
2018-05-27,71
2018-06-03,70
2018-06-10,79
2018-06-17,75
2018-06-24,67
2018-07-01,62
2018-07-08,69
2018-07-15,77
2018-07-22,74
2018-07-29,81
2018-08-05,63
2018-08-12,88
2018-08-19,88
2018-08-26,75
2018-09-02,86
2018-09-09,75
2018-09-16,71
2018-09-23,83
2018-09-30,86
2018-10-07,82
2018-10-14,87
2018-10-21,68
2018-10-28,75
2018-11-04,74
2018-11-11,82
2018-11-18,62
2018-11-25,66
2018-12-02,79
2018-12-09,71
2018-12-16,70
2018-12-23,48
2018-12-30,87
2019-01-06,75
2019-01-13,69
2019-01-20,82
2019-01-27,90
2019-02-03,84
2019-02-10,100
2019-02-17,82
2019-02-24,80
2019-03-03,100
2019-03-10,93
2019-03-17,90
2019-03-24,89
2019-03-31,83
2019-04-07,71
2019-04-14,91
2019-04-21,90
2019-04-28,68
2019-05-05,62
2019-05-12,72
2019-05-19,70
2019-05-26,66
2019-06-02,72
2019-06-09,55
2019-06-16,62
2019-06-23,71
2019-06-30,70
2019-07-07,60
2019-07-14,53
2019-07-21,65
2019-07-28,64
2019-08-04,77
2019-08-11,69
2019-08-18,78
2019-08-25,67
2019-09-01,57
2019-09-08,71
2019-09-15,76
2019-09-22,73
2019-09-29,68
2019-10-06,81
2019-10-13,74
2019-10-20,75
2019-10-27,90
2019-11-03,65
2019-11-10,77
2019-11-17,78
2019-11-24,60
2019-12-01,71
2019-12-08,72
2019-12-15,73
2019-12-22,60
2019-12-29,67
2020-01-05,72
2020-01-12,65
2020-01-19,78
2020-01-26,86
2020-02-02,74
2020-02-09,81
2020-02-16,83
2020-02-23,95
2020-03-01,70
2020-03-08,62
