date,Collecting_ES
2018-01-07,75
2018-01-14,60
2018-01-21,81
2018-01-28,76
2018-02-04,56
2018-02-11,55
2018-02-18,69
2018-02-25,50
2018-03-04,57
2018-03-11,36
2018-03-18,51
2018-03-25,50
2018-04-01,51
2018-04-08,47
2018-04-15,60
2018-04-22,40
2018-04-29,66
2018-05-06,53
2018-05-13,43
2018-05-20,42
2018-05-27,33
2018-06-03,42
2018-06-10,51
2018-06-17,35
2018-06-24,44
2018-07-01,39
2018-07-08,45
2018-07-15,44
2018-07-22,36
2018-07-29,44
2018-08-05,40
2018-08-12,49
2018-08-19,69
2018-08-26,100
2018-09-02,67
2018-09-09,69
2018-09-16,77
2018-09-23,63
2018-09-30,58
2018-10-07,58
2018-10-14,49
2018-10-21,55
2018-10-28,43
2018-11-04,62
2018-11-11,49
2018-11-18,46
2018-11-25,59
2018-12-02,57
2018-12-09,60
2018-12-16,48
2018-12-23,68
2018-12-30,66
2019-01-06,73
2019-01-13,58
2019-01-20,60
2019-01-27,55
2019-02-03,65
2019-02-10,54
2019-02-17,53
2019-02-24,60
2019-03-03,63
2019-03-10,54
2019-03-17,53
2019-03-24,56
2019-03-31,52
2019-04-07,51
2019-04-14,45
2019-04-21,54
2019-04-28,44
2019-05-05,35
2019-05-12,45
2019-05-19,46
2019-05-26,36
2019-06-02,45
2019-06-09,54
2019-06-16,44
2019-06-23,37
2019-06-30,42
2019-07-07,38
2019-07-14,38
2019-07-21,42
2019-07-28,44
2019-08-04,53
2019-08-11,56
2019-08-18,62
2019-08-25,72
2019-09-01,82
2019-09-08,61
2019-09-15,53
2019-09-22,64
2019-09-29,60
2019-10-06,53
2019-10-13,49
2019-10-20,49
2019-10-27,53
2019-11-03,57
2019-11-10,50
2019-11-17,44
2019-11-24,49
2019-12-01,46
2019-12-08,51
2019-12-15,54
2019-12-22,60
2019-12-29,72
2020-01-05,96
2020-01-12,80
2020-01-19,61
2020-01-26,56
2020-02-02,61
2020-02-09,57
2020-02-16,50
2020-02-23,45
2020-03-01,44
2020-03-08,36
