date,Collecting_CA
2018-01-07,85
2018-01-14,77
2018-01-21,61
2018-01-28,79
2018-02-04,79
2018-02-11,61
2018-02-18,66
2018-02-25,64
2018-03-04,59
2018-03-11,66
2018-03-18,54
2018-03-25,57
2018-04-01,75
2018-04-08,52
2018-04-15,100
2018-04-22,54
2018-04-29,61
2018-05-06,53
2018-05-13,63
2018-05-20,77
2018-05-27,54
2018-06-03,66
2018-06-10,71
2018-06-17,43
2018-06-24,47
2018-07-01,68
2018-07-08,57
2018-07-15,55
2018-07-22,46
2018-07-29,67
2018-08-05,52
2018-08-12,85
2018-08-19,88
2018-08-26,70
2018-09-02,76
2018-09-09,81
2018-09-16,57
2018-09-23,72
2018-09-30,69
2018-10-07,52
2018-10-14,63
2018-10-21,77
2018-10-28,85
2018-11-04,74
2018-11-11,56
2018-11-18,55
2018-11-25,94
2018-12-02,75
2018-12-09,80
2018-12-16,56
2018-12-23,70
2018-12-30,82
2019-01-06,72
2019-01-13,83
2019-01-20,61
2019-01-27,65
2019-02-03,65
2019-02-10,57
2019-02-17,66
2019-02-24,64
2019-03-03,43
2019-03-10,51
2019-03-17,69
2019-03-24,45
2019-03-31,68
2019-04-07,57
2019-04-14,80
2019-04-21,55
2019-04-28,79
2019-05-05,67
2019-05-12,77
2019-05-19,72
2019-05-26,53
2019-06-02,53
2019-06-09,81
2019-06-16,80
2019-06-23,55
2019-06-30,53
2019-07-07,61
2019-07-14,60
2019-07-21,89
2019-07-28,75
2019-08-04,58
2019-08-11,53
2019-08-18,84
2019-08-25,71
2019-09-01,89
2019-09-08,76
2019-09-15,50
2019-09-22,74
2019-09-29,50
2019-10-06,60
2019-10-13,61
2019-10-20,78
2019-10-27,64
2019-11-03,99
2019-11-10,47
2019-11-17,87
2019-11-24,54
2019-12-01,58
2019-12-08,78
2019-12-15,78
2019-12-22,66
2019-12-29,69
2020-01-05,79
2020-01-12,59
2020-01-19,68
2020-01-26,90
2020-02-02,69
2020-02-09,89
2020-02-16,68
2020-02-23,63
2020-03-01,67
2020-03-08,52
