date,Music_DE
2018-01-07,92
2018-01-14,82
2018-01-21,79
2018-01-28,78
2018-02-04,83
2018-02-11,75
2018-02-18,77
2018-02-25,77
2018-03-04,75
2018-03-11,78
2018-03-18,77
2018-03-25,75
2018-04-01,76
2018-04-08,71
2018-04-15,74
2018-04-22,74
2018-04-29,80
2018-05-06,91
2018-05-13,83
2018-05-20,89
2018-05-27,88
2018-06-03,84
2018-06-10,81
2018-06-17,84
2018-06-24,76
2018-07-01,78
2018-07-08,78
2018-07-15,80
2018-07-22,79
2018-07-29,80
2018-08-05,77
2018-08-12,78
2018-08-19,78
2018-08-26,83
2018-09-02,80
2018-09-09,81
2018-09-16,80
2018-09-23,77
2018-09-30,83
2018-10-07,78
2018-10-14,81
2018-10-21,81
2018-10-28,86
2018-11-04,83
2018-11-11,81
2018-11-18,79
2018-11-25,79
2018-12-02,85
2018-12-09,79
2018-12-16,85
2018-12-23,100
2018-12-30,86
2019-01-06,72
2019-01-13,74
2019-01-20,71
2019-01-27,82
2019-02-03,78
2019-02-10,80
2019-02-17,80
2019-02-24,82
2019-03-03,82
2019-03-10,80
2019-03-17,84
2019-03-24,81
2019-03-31,75
2019-04-07,74
2019-04-14,75
2019-04-21,69
2019-04-28,81
2019-05-05,74
2019-05-12,72
2019-05-19,70
2019-05-26,73
2019-06-02,72
2019-06-09,76
2019-06-16,94
2019-06-23,71
2019-06-30,73
2019-07-07,77
2019-07-14,76
2019-07-21,74
2019-07-28,71
2019-08-04,72
2019-08-11,68
2019-08-18,72
2019-08-25,70
2019-09-01,63
2019-09-08,69
2019-09-15,69
2019-09-22,68
2019-09-29,73
2019-10-06,65
2019-10-13,66
2019-10-20,67
2019-10-27,72
2019-11-03,70
2019-11-10,71
2019-11-17,71
2019-11-24,70
2019-12-01,78
2019-12-08,75
2019-12-15,74
2019-12-22,89
2019-12-29,82
2020-01-05,72
2020-01-12,73
2020-01-19,73
2020-01-26,70
2020-02-02,72
2020-02-09,67
2020-02-16,71
2020-02-23,68
2020-03-01,67
2020-03-08,59
