date,Crafts_VN
2018-01-07,34
2018-01-14,33
2018-01-21,40
2018-01-28,37
2018-02-04,44
2018-02-11,18
2018-02-18,37
2018-02-25,30
2018-03-04,38
2018-03-11,28
2018-03-18,27
2018-03-25,28
2018-04-01,32
2018-04-08,33
2018-04-15,30
2018-04-22,37
2018-04-29,24
2018-05-06,21
2018-05-13,23
2018-05-20,27
2018-05-27,29
2018-06-03,43
2018-06-10,36
2018-06-17,26
2018-06-24,30
2018-07-01,29
2018-07-08,29
2018-07-15,49
2018-07-22,34
2018-07-29,28
2018-08-05,62
2018-08-12,28
2018-08-19,41
2018-08-26,57
2018-09-02,46
2018-09-09,60
2018-09-16,24
2018-09-23,34
2018-09-30,46
2018-10-07,31
2018-10-14,42
2018-10-21,35
2018-10-28,42
2018-11-04,38
2018-11-11,47
2018-11-18,24
2018-11-25,38
2018-12-02,49
2018-12-09,62
2018-12-16,61
2018-12-23,53
2018-12-30,37
2019-01-06,38
2019-01-13,41
2019-01-20,30
2019-01-27,54
2019-02-03,32
2019-02-10,44
2019-02-17,46
2019-02-24,64
2019-03-03,54
2019-03-10,82
2019-03-17,67
2019-03-24,68
2019-03-31,35
2019-04-07,38
2019-04-14,59
2019-04-21,67
2019-04-28,30
2019-05-05,46
2019-05-12,54
2019-05-19,78
2019-05-26,43
2019-06-02,66
2019-06-09,100
2019-06-16,74
2019-06-23,75
2019-06-30,81
2019-07-07,92
2019-07-14,60
2019-07-21,89
2019-07-28,65
2019-08-04,67
2019-08-11,70
2019-08-18,65
2019-08-25,47
2019-09-01,74
2019-09-08,43
2019-09-15,61
2019-09-22,77
2019-09-29,53
2019-10-06,78
2019-10-13,55
2019-10-20,82
2019-10-27,79
2019-11-03,43
2019-11-10,88
2019-11-17,76
2019-11-24,66
2019-12-01,91
2019-12-08,77
2019-12-15,54
2019-12-22,79
2019-12-29,65
2020-01-05,77
2020-01-12,68
2020-01-19,70
2020-01-26,76
2020-02-02,84
2020-02-09,61
2020-02-16,57
2020-02-23,54
2020-03-01,48
2020-03-08,43
