date,Arts_PE
2018-01-07,37
2018-01-14,37
2018-01-21,37
2018-01-28,35
2018-02-04,31
2018-02-11,36
2018-02-18,32
2018-02-25,35
2018-03-04,52
2018-03-11,79
2018-03-18,90
2018-03-25,78
2018-04-01,75
2018-04-08,72
2018-04-15,74
2018-04-22,76
2018-04-29,59
2018-05-06,56
2018-05-13,50
2018-05-20,52
2018-05-27,53
2018-06-03,64
2018-06-10,49
2018-06-17,46
2018-06-24,46
2018-07-01,51
2018-07-08,53
2018-07-15,48
2018-07-22,42
2018-07-29,44
2018-08-05,35
2018-08-12,46
2018-08-19,54
2018-08-26,51
2018-09-02,49
2018-09-09,51
2018-09-16,50
2018-09-23,49
2018-09-30,47
2018-10-07,42
2018-10-14,44
2018-10-21,49
2018-10-28,46
2018-11-04,46
2018-11-11,44
2018-11-18,43
2018-11-25,50
2018-12-02,39
2018-12-09,42
2018-12-16,38
2018-12-23,30
2018-12-30,35
2019-01-06,33
2019-01-13,33
2019-01-20,36
2019-01-27,37
2019-02-03,30
2019-02-10,37
2019-02-17,34
2019-02-24,36
2019-03-03,41
2019-03-10,67
2019-03-17,100
2019-03-24,96
2019-03-31,86
2019-04-07,80
2019-04-14,53
2019-04-21,68
2019-04-28,66
2019-05-05,44
2019-05-12,59
2019-05-19,67
2019-05-26,62
2019-06-02,60
2019-06-09,51
2019-06-16,52
2019-06-23,63
2019-06-30,51
2019-07-07,55
2019-07-14,59
2019-07-21,43
2019-07-28,48
2019-08-04,39
2019-08-11,51
2019-08-18,55
2019-08-25,53
2019-09-01,59
2019-09-08,45
2019-09-15,51
2019-09-22,45
2019-09-29,46
2019-10-06,46
2019-10-13,47
2019-10-20,58
2019-10-27,51
2019-11-03,49
2019-11-10,43
2019-11-17,47
2019-11-24,39
2019-12-01,45
2019-12-08,47
2019-12-15,38
2019-12-22,39
2019-12-29,36
2020-01-05,33
2020-01-12,35
2020-01-19,29
2020-01-26,31
2020-02-02,30
2020-02-09,26
2020-02-16,36
2020-02-23,35
2020-03-01,35
2020-03-08,39
