date,Learning_PK
2018-01-07,65
2018-01-14,82
2018-01-21,70
2018-01-28,89
2018-02-04,90
2018-02-11,77
2018-02-18,82
2018-02-25,78
2018-03-04,83
2018-03-11,76
2018-03-18,73
2018-03-25,99
2018-04-01,78
2018-04-08,71
2018-04-15,70
2018-04-22,85
2018-04-29,76
2018-05-06,89
2018-05-13,77
2018-05-20,86
2018-05-27,72
2018-06-03,66
2018-06-10,55
2018-06-17,60
2018-06-24,67
2018-07-01,61
2018-07-08,66
2018-07-15,60
2018-07-22,52
2018-07-29,83
2018-08-05,71
2018-08-12,62
2018-08-19,43
2018-08-26,80
2018-09-02,70
2018-09-09,83
2018-09-16,78
2018-09-23,87
2018-09-30,95
2018-10-07,82
2018-10-14,78
2018-10-21,78
2018-10-28,69
2018-11-04,73
2018-11-11,82
2018-11-18,99
2018-11-25,80
2018-12-02,76
2018-12-09,78
2018-12-16,81
2018-12-23,64
2018-12-30,67
2019-01-06,71
2019-01-13,92
2019-01-20,77
2019-01-27,76
2019-02-03,80
2019-02-10,75
2019-02-17,77
2019-02-24,61
2019-03-03,78
2019-03-10,79
2019-03-17,72
2019-03-24,86
2019-03-31,90
2019-04-07,84
2019-04-14,74
2019-04-21,98
2019-04-28,88
2019-05-05,85
2019-05-12,76
2019-05-19,68
2019-05-26,69
2019-06-02,46
2019-06-09,69
2019-06-16,68
2019-06-23,62
2019-06-30,61
2019-07-07,80
2019-07-14,76
2019-07-21,71
2019-07-28,78
2019-08-04,60
2019-08-11,47
2019-08-18,65
2019-08-25,90
2019-09-01,79
2019-09-08,84
2019-09-15,87
2019-09-22,90
2019-09-29,69
2019-10-06,84
2019-10-13,83
2019-10-20,91
2019-10-27,73
2019-11-03,76
2019-11-10,79
2019-11-17,77
2019-11-24,100
2019-12-01,91
2019-12-08,91
2019-12-15,70
2019-12-22,60
2019-12-29,75
2020-01-05,72
2020-01-12,97
2020-01-19,84
2020-01-26,90
2020-02-02,85
2020-02-09,99
2020-02-16,86
2020-02-23,80
2020-03-01,83
2020-03-08,82
