date,Music_CL
2018-01-07,96
2018-01-14,96
2018-01-21,100
2018-01-28,93
2018-02-04,91
2018-02-11,83
2018-02-18,78
2018-02-25,85
2018-03-04,92
2018-03-11,87
2018-03-18,97
2018-03-25,92
2018-04-01,77
2018-04-08,91
2018-04-15,89
2018-04-22,86
2018-04-29,83
2018-05-06,90
2018-05-13,89
2018-05-20,89
2018-05-27,83
2018-06-03,85
2018-06-10,80
2018-06-17,80
2018-06-24,78
2018-07-01,82
2018-07-08,83
2018-07-15,84
2018-07-22,82
2018-07-29,81
2018-08-05,97
2018-08-12,91
2018-08-19,87
2018-08-26,86
2018-09-02,86
2018-09-09,91
2018-09-16,91
2018-09-23,77
2018-09-30,81
2018-10-07,84
2018-10-14,81
2018-10-21,88
2018-10-28,84
2018-11-04,80
2018-11-11,86
2018-11-18,83
2018-11-25,76
2018-12-02,74
2018-12-09,78
2018-12-16,78
2018-12-23,86
2018-12-30,80
2019-01-06,73
2019-01-13,76
2019-01-20,76
2019-01-27,72
2019-02-03,73
2019-02-10,69
2019-02-17,69
2019-02-24,63
2019-03-03,68
2019-03-10,75
2019-03-17,82
2019-03-24,74
2019-03-31,74
2019-04-07,77
2019-04-14,77
2019-04-21,75
2019-04-28,73
2019-05-05,75
2019-05-12,72
2019-05-19,74
2019-05-26,66
2019-06-02,68
2019-06-09,71
2019-06-16,70
2019-06-23,70
2019-06-30,69
2019-07-07,76
2019-07-14,75
2019-07-21,69
2019-07-28,72
2019-08-04,78
2019-08-11,74
2019-08-18,74
2019-08-25,76
2019-09-01,77
2019-09-08,78
2019-09-15,77
2019-09-22,69
2019-09-29,73
2019-10-06,65
2019-10-13,69
2019-10-20,56
2019-10-27,63
2019-11-03,62
2019-11-10,60
2019-11-17,68
2019-11-24,66
2019-12-01,70
2019-12-08,70
2019-12-15,66
2019-12-22,73
2019-12-29,66
2020-01-05,58
2020-01-12,63
2020-01-19,62
2020-01-26,56
2020-02-02,57
2020-02-09,57
2020-02-16,66
2020-02-23,59
2020-03-01,63
2020-03-08,67
