date,Sports_NO
2018-01-07,54
2018-01-14,58
2018-01-21,63
2018-01-28,46
2018-02-04,54
2018-02-11,88
2018-02-18,91
2018-02-25,48
2018-03-04,53
2018-03-11,56
2018-03-18,47
2018-03-25,40
2018-04-01,47
2018-04-08,53
2018-04-15,43
2018-04-22,51
2018-04-29,54
2018-05-06,45
2018-05-13,41
2018-05-20,43
2018-05-27,47
2018-06-03,48
2018-06-10,45
2018-06-17,51
2018-06-24,53
2018-07-01,61
2018-07-08,54
2018-07-15,43
2018-07-22,41
2018-07-29,41
2018-08-05,62
2018-08-12,50
2018-08-19,54
2018-08-26,47
2018-09-02,39
2018-09-09,48
2018-09-16,58
2018-09-23,52
2018-09-30,47
2018-10-07,40
2018-10-14,39
2018-10-21,53
2018-10-28,46
2018-11-04,42
2018-11-11,39
2018-11-18,50
2018-11-25,49
2018-12-02,49
2018-12-09,50
2018-12-16,67
2018-12-23,50
2018-12-30,56
2019-01-06,52
2019-01-13,64
2019-01-20,61
2019-01-27,66
2019-02-03,64
2019-02-10,65
2019-02-17,77
2019-02-24,100
2019-03-03,71
2019-03-10,67
2019-03-17,66
2019-03-24,63
2019-03-31,53
2019-04-07,54
2019-04-14,55
2019-04-21,52
2019-04-28,52
2019-05-05,49
2019-05-12,45
2019-05-19,41
2019-05-26,51
2019-06-02,37
2019-06-09,57
2019-06-16,46
2019-06-23,49
2019-06-30,51
2019-07-07,47
2019-07-14,46
2019-07-21,52
2019-07-28,53
2019-08-04,64
2019-08-11,55
2019-08-18,55
2019-08-25,52
2019-09-01,44
2019-09-08,47
2019-09-15,52
2019-09-22,49
2019-09-29,60
2019-10-06,54
2019-10-13,48
2019-10-20,51
2019-10-27,55
2019-11-03,57
2019-11-10,46
2019-11-17,54
2019-11-24,58
2019-12-01,71
2019-12-08,72
2019-12-15,50
2019-12-22,59
2019-12-29,75
2020-01-05,64
2020-01-12,67
2020-01-19,79
2020-01-26,74
2020-02-02,62
2020-02-09,55
2020-02-16,75
2020-02-23,63
2020-03-01,54
2020-03-08,48
