date,Collecting_BD
2018-01-07,0
2018-01-14,28
2018-01-21,81
2018-01-28,27
2018-02-04,25
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,53
2018-03-18,0
2018-03-25,0
2018-04-01,26
2018-04-08,26
2018-04-15,0
2018-04-22,0
2018-04-29,27
2018-05-06,50
2018-05-13,0
2018-05-20,29
2018-05-27,58
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,49
2018-07-08,0
2018-07-15,25
2018-07-22,25
2018-07-29,52
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,49
2018-09-09,0
2018-09-16,69
2018-09-23,0
2018-09-30,100
2018-10-07,24
2018-10-14,26
2018-10-21,48
2018-10-28,24
2018-11-04,0
2018-11-11,24
2018-11-18,25
2018-11-25,0
2018-12-02,26
2018-12-09,25
2018-12-16,0
2018-12-23,26
2018-12-30,29
2019-01-06,26
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,25
2019-02-10,24
2019-02-17,0
2019-02-24,0
2019-03-03,24
2019-03-10,24
2019-03-17,0
2019-03-24,96
2019-03-31,0
2019-04-07,51
2019-04-14,0
2019-04-21,0
2019-04-28,71
2019-05-05,26
2019-05-12,0
2019-05-19,80
2019-05-26,0
2019-06-02,50
2019-06-09,0
2019-06-16,0
2019-06-23,21
2019-06-30,42
2019-07-07,23
2019-07-14,23
2019-07-21,24
2019-07-28,0
2019-08-04,0
2019-08-11,58
2019-08-18,0
2019-08-25,0
2019-09-01,22
2019-09-08,43
2019-09-15,42
2019-09-22,21
2019-09-29,22
2019-10-06,22
2019-10-13,63
2019-10-20,62
2019-10-27,22
2019-11-03,0
2019-11-10,42
2019-11-17,44
2019-11-24,45
2019-12-01,46
2019-12-08,22
2019-12-15,44
2019-12-22,0
2019-12-29,20
2020-01-05,43
2020-01-12,21
2020-01-19,21
2020-01-26,0
2020-02-02,41
2020-02-09,0
2020-02-16,0
2020-02-23,19
2020-03-01,0
2020-03-08,19
