date,Collecting_PK
2018-01-07,71
2018-01-14,35
2018-01-21,17
2018-01-28,35
2018-02-04,0
2018-02-11,17
2018-02-18,34
2018-02-25,0
2018-03-04,17
2018-03-11,17
2018-03-18,35
2018-03-25,17
2018-04-01,54
2018-04-08,18
2018-04-15,0
2018-04-22,18
2018-04-29,56
2018-05-06,53
2018-05-13,60
2018-05-20,62
2018-05-27,20
2018-06-03,41
2018-06-10,20
2018-06-17,0
2018-06-24,16
2018-07-01,0
2018-07-08,32
2018-07-15,32
2018-07-22,79
2018-07-29,32
2018-08-05,33
2018-08-12,52
2018-08-19,19
2018-08-26,34
2018-09-02,17
2018-09-09,82
2018-09-16,17
2018-09-23,16
2018-09-30,17
2018-10-07,50
2018-10-14,68
2018-10-21,34
2018-10-28,34
2018-11-04,53
2018-11-11,18
2018-11-18,18
2018-11-25,18
2018-12-02,53
2018-12-09,36
2018-12-16,18
2018-12-23,54
2018-12-30,52
2019-01-06,17
2019-01-13,17
2019-01-20,0
2019-01-27,17
2019-02-03,17
2019-02-10,82
2019-02-17,65
2019-02-24,16
2019-03-03,49
2019-03-10,16
2019-03-17,49
2019-03-24,100
2019-03-31,88
2019-04-07,18
2019-04-14,87
2019-04-21,18
2019-04-28,37
2019-05-05,20
2019-05-12,20
2019-05-19,78
2019-05-26,40
2019-06-02,0
2019-06-09,30
2019-06-16,15
2019-06-23,28
2019-06-30,0
2019-07-07,95
2019-07-14,79
2019-07-21,33
2019-07-28,33
2019-08-04,51
2019-08-11,19
2019-08-18,65
2019-08-25,17
2019-09-01,98
2019-09-08,34
2019-09-15,63
2019-09-22,47
2019-09-29,31
2019-10-06,32
2019-10-13,33
2019-10-20,0
2019-10-27,49
2019-11-03,49
2019-11-10,50
2019-11-17,82
2019-11-24,33
2019-12-01,17
2019-12-08,17
2019-12-15,80
2019-12-22,48
2019-12-29,62
2020-01-05,15
2020-01-12,44
2020-01-19,15
2020-01-26,45
2020-02-02,30
2020-02-09,30
2020-02-16,44
2020-02-23,43
2020-03-01,14
2020-03-08,14
