date,Performing_Art_FR
2020-03-15,64
2020-03-22,66
2020-03-29,57
2020-04-05,59
2020-04-12,65
2020-04-19,55
2020-04-26,59
2020-05-03,63
2020-05-10,55
2020-05-17,44
2020-05-24,49
2020-05-31,53
2020-06-07,49
2020-06-14,62
2020-06-21,56
2020-06-28,63
2020-07-05,72
2020-07-12,72
2020-07-19,56
2020-07-26,71
2020-08-02,77
2020-08-09,73
2020-08-16,80
2020-08-23,76
2020-08-30,71
2020-09-06,70
2020-09-13,82
2020-09-20,90
2020-09-27,90
2020-10-04,95
2020-10-11,81
2020-10-18,84
2020-10-25,53
2020-11-01,35
2020-11-08,46
2020-11-15,54
2020-11-22,50
2020-11-29,61
2020-12-06,69
2020-12-13,59
2020-12-20,69
2020-12-27,67
2021-01-03,42
2021-01-10,42
2021-01-17,39
2021-01-24,37
2021-01-31,42
2021-02-07,45
2021-02-14,39
2021-02-21,37
2021-02-28,41
2021-03-07,43
2021-03-14,39
2021-03-21,35
2021-03-28,35
2021-04-04,35
2021-04-11,41
2021-04-18,34
2021-04-25,42
2021-05-02,42
2021-05-09,52
2021-05-16,58
2021-05-23,63
2021-05-30,63
2021-06-06,68
2021-06-13,72
2021-06-20,83
2021-06-27,80
2021-07-04,93
2021-07-11,100
2021-07-18,90
2021-07-25,87
2021-08-01,84
2021-08-08,93
2021-08-15,88
2021-08-22,88
2021-08-29,82
