date,Sports_BR
2018-01-07,86
2018-01-14,94
2018-01-21,93
2018-01-28,80
2018-02-04,80
2018-02-11,82
2018-02-18,77
2018-02-25,70
2018-03-04,69
2018-03-11,69
2018-03-18,73
2018-03-25,81
2018-04-01,69
2018-04-08,80
2018-04-15,82
2018-04-22,85
2018-04-29,77
2018-05-06,80
2018-05-13,81
2018-05-20,76
2018-05-27,84
2018-06-03,85
2018-06-10,97
2018-06-17,100
2018-06-24,93
2018-07-01,84
2018-07-08,71
2018-07-15,76
2018-07-22,82
2018-07-29,84
2018-08-05,81
2018-08-12,84
2018-08-19,81
2018-08-26,81
2018-09-02,80
2018-09-09,72
2018-09-16,74
2018-09-23,75
2018-09-30,77
2018-10-07,54
2018-10-14,63
2018-10-21,71
2018-10-28,69
2018-11-04,66
2018-11-11,72
2018-11-18,73
2018-11-25,73
2018-12-02,66
2018-12-09,75
2018-12-16,79
2018-12-23,75
2018-12-30,84
2019-01-06,87
2019-01-13,84
2019-01-20,89
2019-01-27,82
2019-02-03,80
2019-02-10,77
2019-02-17,78
2019-02-24,70
2019-03-03,72
2019-03-10,73
2019-03-17,70
2019-03-24,78
2019-03-31,68
2019-04-07,71
2019-04-14,65
2019-04-21,78
2019-04-28,85
2019-05-05,82
2019-05-12,79
2019-05-19,78
2019-05-26,84
2019-06-02,82
2019-06-09,82
2019-06-16,74
2019-06-23,70
2019-06-30,68
2019-07-07,73
2019-07-14,78
2019-07-21,83
2019-07-28,86
2019-08-04,83
2019-08-11,79
2019-08-18,86
2019-08-25,87
2019-09-01,81
2019-09-08,72
2019-09-15,75
2019-09-22,81
2019-09-29,81
2019-10-06,91
2019-10-13,88
2019-10-20,77
2019-10-27,80
2019-11-03,86
2019-11-10,80
2019-11-17,75
2019-11-24,76
2019-12-01,82
2019-12-08,79
2019-12-15,93
2019-12-22,73
2019-12-29,71
2020-01-05,75
2020-01-12,78
2020-01-19,80
2020-01-26,79
2020-02-02,76
2020-02-09,77
2020-02-16,77
2020-02-23,73
2020-03-01,73
2020-03-08,72
