date,Pets_EG
2018-01-07,33
2018-01-14,22
2018-01-21,34
2018-01-28,31
2018-02-04,36
2018-02-11,25
2018-02-18,25
2018-02-25,41
2018-03-04,44
2018-03-11,32
2018-03-18,38
2018-03-25,25
2018-04-01,42
2018-04-08,50
2018-04-15,16
2018-04-22,25
2018-04-29,16
2018-05-06,19
2018-05-13,14
2018-05-20,14
2018-05-27,26
2018-06-03,37
2018-06-10,28
2018-06-17,36
2018-06-24,34
2018-07-01,32
2018-07-08,33
2018-07-15,53
2018-07-22,29
2018-07-29,29
2018-08-05,47
2018-08-12,46
2018-08-19,44
2018-08-26,51
2018-09-02,78
2018-09-09,41
2018-09-16,72
2018-09-23,55
2018-09-30,66
2018-10-07,46
2018-10-14,34
2018-10-21,48
2018-10-28,59
2018-11-04,37
2018-11-11,48
2018-11-18,52
2018-11-25,75
2018-12-02,62
2018-12-09,70
2018-12-16,92
2018-12-23,75
2018-12-30,80
2019-01-06,68
2019-01-13,54
2019-01-20,88
2019-01-27,100
2019-02-03,67
2019-02-10,92
2019-02-17,75
2019-02-24,69
2019-03-03,76
2019-03-10,78
2019-03-17,63
2019-03-24,49
2019-03-31,44
2019-04-07,35
2019-04-14,51
2019-04-21,59
2019-04-28,71
2019-05-05,35
2019-05-12,45
2019-05-19,36
2019-05-26,63
2019-06-02,94
2019-06-09,64
2019-06-16,58
2019-06-23,48
2019-06-30,60
2019-07-07,76
2019-07-14,62
2019-07-21,66
2019-07-28,75
2019-08-04,52
2019-08-11,44
2019-08-18,58
2019-08-25,45
2019-09-01,75
2019-09-08,68
2019-09-15,50
2019-09-22,52
2019-09-29,58
2019-10-06,68
2019-10-13,59
2019-10-20,35
2019-10-27,74
2019-11-03,58
2019-11-10,76
2019-11-17,46
2019-11-24,65
2019-12-01,64
2019-12-08,67
2019-12-15,84
2019-12-22,79
2019-12-29,77
2020-01-05,58
2020-01-12,57
2020-01-19,65
2020-01-26,57
2020-02-02,78
2020-02-09,49
2020-02-16,88
2020-02-23,66
2020-03-01,59
2020-03-08,61
