date,Learning_MY
2018-01-07,72
2018-01-14,63
2018-01-21,59
2018-01-28,60
2018-02-04,58
2018-02-11,60
2018-02-18,70
2018-02-25,72
2018-03-04,87
2018-03-11,75
2018-03-18,78
2018-03-25,71
2018-04-01,85
2018-04-08,77
2018-04-15,74
2018-04-22,68
2018-04-29,62
2018-05-06,48
2018-05-13,76
2018-05-20,68
2018-05-27,60
2018-06-03,58
2018-06-10,49
2018-06-17,44
2018-06-24,54
2018-07-01,58
2018-07-08,56
2018-07-15,68
2018-07-22,79
2018-07-29,78
2018-08-05,69
2018-08-12,73
2018-08-19,48
2018-08-26,49
2018-09-02,76
2018-09-09,81
2018-09-16,88
2018-09-23,100
2018-09-30,79
2018-10-07,76
2018-10-14,77
2018-10-21,81
2018-10-28,67
2018-11-04,57
2018-11-11,73
2018-11-18,71
2018-11-25,77
2018-12-02,78
2018-12-09,67
2018-12-16,60
2018-12-23,48
2018-12-30,68
2019-01-06,63
2019-01-13,60
2019-01-20,62
2019-01-27,55
2019-02-03,44
2019-02-10,70
2019-02-17,73
2019-02-24,70
2019-03-03,73
2019-03-10,71
2019-03-17,69
2019-03-24,64
2019-03-31,64
2019-04-07,69
2019-04-14,65
2019-04-21,64
2019-04-28,60
2019-05-05,54
2019-05-12,62
2019-05-19,64
2019-05-26,64
2019-06-02,49
2019-06-09,53
2019-06-16,68
2019-06-23,57
2019-06-30,54
2019-07-07,58
2019-07-14,58
2019-07-21,54
2019-07-28,63
2019-08-04,61
2019-08-11,60
2019-08-18,63
2019-08-25,50
2019-09-01,62
2019-09-08,74
2019-09-15,75
2019-09-22,82
2019-09-29,92
2019-10-06,82
2019-10-13,78
2019-10-20,72
2019-10-27,58
2019-11-03,73
2019-11-10,64
2019-11-17,78
2019-11-24,69
2019-12-01,62
2019-12-08,65
2019-12-15,62
2019-12-22,47
2019-12-29,56
2020-01-05,57
2020-01-12,58
2020-01-19,58
2020-01-26,44
2020-02-02,69
2020-02-09,65
2020-02-16,73
2020-02-23,75
2020-03-01,80
2020-03-08,89
