date,Music_SA
2018-01-07,91
2018-01-14,90
2018-01-21,77
2018-01-28,76
2018-02-04,82
2018-02-11,90
2018-02-18,90
2018-02-25,92
2018-03-04,90
2018-03-11,87
2018-03-18,90
2018-03-25,83
2018-04-01,93
2018-04-08,91
2018-04-15,100
2018-04-22,89
2018-04-29,84
2018-05-06,84
2018-05-13,77
2018-05-20,67
2018-05-27,64
2018-06-03,65
2018-06-10,83
2018-06-17,98
2018-06-24,95
2018-07-01,88
2018-07-08,85
2018-07-15,91
2018-07-22,86
2018-07-29,91
2018-08-05,99
2018-08-12,78
2018-08-19,100
2018-08-26,86
2018-09-02,84
2018-09-09,81
2018-09-16,98
2018-09-23,94
2018-09-30,72
2018-10-07,73
2018-10-14,74
2018-10-21,89
2018-10-28,86
2018-11-04,82
2018-11-11,81
2018-11-18,75
2018-11-25,87
2018-12-02,90
2018-12-09,91
2018-12-16,79
2018-12-23,86
2018-12-30,98
2019-01-06,84
2019-01-13,82
2019-01-20,81
2019-01-27,77
2019-02-03,73
2019-02-10,82
2019-02-17,75
2019-02-24,81
2019-03-03,87
2019-03-10,80
2019-03-17,81
2019-03-24,80
2019-03-31,82
2019-04-07,81
2019-04-14,79
2019-04-21,76
2019-04-28,75
2019-05-05,56
2019-05-12,59
2019-05-19,56
2019-05-26,60
2019-06-02,87
2019-06-09,87
2019-06-16,88
2019-06-23,87
2019-06-30,92
2019-07-07,81
2019-07-14,92
2019-07-21,85
2019-07-28,88
2019-08-04,68
2019-08-11,98
2019-08-18,80
2019-08-25,73
2019-09-01,73
2019-09-08,69
2019-09-15,78
2019-09-22,87
2019-09-29,68
2019-10-06,71
2019-10-13,72
2019-10-20,72
2019-10-27,73
2019-11-03,88
2019-11-10,82
2019-11-17,74
2019-11-24,75
2019-12-01,76
2019-12-08,66
2019-12-15,71
2019-12-22,72
2019-12-29,76
2020-01-05,64
2020-01-12,75
2020-01-19,64
2020-01-26,65
2020-02-02,73
2020-02-09,69
2020-02-16,67
2020-02-23,69
2020-03-01,66
2020-03-08,64
