date,Arts_IE
2018-01-07,85
2018-01-14,93
2018-01-21,86
2018-01-28,88
2018-02-04,84
2018-02-11,70
2018-02-18,81
2018-02-25,72
2018-03-04,77
2018-03-11,79
2018-03-18,83
2018-03-25,59
2018-04-01,74
2018-04-08,80
2018-04-15,93
2018-04-22,76
2018-04-29,76
2018-05-06,66
2018-05-13,67
2018-05-20,63
2018-05-27,65
2018-06-03,63
2018-06-10,80
2018-06-17,66
2018-06-24,54
2018-07-01,59
2018-07-08,63
2018-07-15,69
2018-07-22,65
2018-07-29,56
2018-08-05,69
2018-08-12,70
2018-08-19,70
2018-08-26,78
2018-09-02,82
2018-09-09,89
2018-09-16,89
2018-09-23,81
2018-09-30,91
2018-10-07,84
2018-10-14,80
2018-10-21,81
2018-10-28,63
2018-11-04,79
2018-11-11,70
2018-11-18,85
2018-11-25,86
2018-12-02,88
2018-12-09,70
2018-12-16,64
2018-12-23,51
2018-12-30,63
2019-01-06,80
2019-01-13,86
2019-01-20,80
2019-01-27,88
2019-02-03,78
2019-02-10,72
2019-02-17,67
2019-02-24,85
2019-03-03,75
2019-03-10,73
2019-03-17,85
2019-03-24,82
2019-03-31,88
2019-04-07,83
2019-04-14,64
2019-04-21,67
2019-04-28,77
2019-05-05,70
2019-05-12,59
2019-05-19,69
2019-05-26,72
2019-06-02,73
2019-06-09,76
2019-06-16,61
2019-06-23,56
2019-06-30,51
2019-07-07,62
2019-07-14,54
2019-07-21,47
2019-07-28,54
2019-08-04,54
2019-08-11,67
2019-08-18,60
2019-08-25,73
2019-09-01,72
2019-09-08,68
2019-09-15,95
2019-09-22,81
2019-09-29,73
2019-10-06,82
2019-10-13,87
2019-10-20,77
2019-10-27,64
2019-11-03,91
2019-11-10,100
2019-11-17,85
2019-11-24,76
2019-12-01,86
2019-12-08,83
2019-12-15,75
2019-12-22,47
2019-12-29,58
2020-01-05,86
2020-01-12,75
2020-01-19,81
2020-01-26,66
2020-02-02,70
2020-02-09,75
2020-02-16,72
2020-02-23,67
2020-03-01,84
2020-03-08,68
