date,Sports_NG
2018-01-07,74
2018-01-14,100
2018-01-21,96
2018-01-28,90
2018-02-04,62
2018-02-11,59
2018-02-18,57
2018-02-25,54
2018-03-04,61
2018-03-11,55
2018-03-18,52
2018-03-25,47
2018-04-01,53
2018-04-08,61
2018-04-15,48
2018-04-22,47
2018-04-29,52
2018-05-06,50
2018-05-13,50
2018-05-20,59
2018-05-27,66
2018-06-03,72
2018-06-10,76
2018-06-17,81
2018-06-24,72
2018-07-01,65
2018-07-08,67
2018-07-15,71
2018-07-22,77
2018-07-29,72
2018-08-05,85
2018-08-12,58
2018-08-19,53
2018-08-26,54
2018-09-02,46
2018-09-09,46
2018-09-16,53
2018-09-23,50
2018-09-30,49
2018-10-07,43
2018-10-14,48
2018-10-21,52
2018-10-28,54
2018-11-04,50
2018-11-11,43
2018-11-18,40
2018-11-25,46
2018-12-02,54
2018-12-09,52
2018-12-16,59
2018-12-23,54
2018-12-30,58
2019-01-06,65
2019-01-13,62
2019-01-20,58
2019-01-27,54
2019-02-03,51
2019-02-10,43
2019-02-17,40
2019-02-24,41
2019-03-03,46
2019-03-10,51
2019-03-17,40
2019-03-24,35
2019-03-31,48
2019-04-07,50
2019-04-14,48
2019-04-21,46
2019-04-28,50
2019-05-05,56
2019-05-12,44
2019-05-19,45
2019-05-26,54
2019-06-02,54
2019-06-09,58
2019-06-16,57
2019-06-23,56
2019-06-30,56
2019-07-07,54
2019-07-14,55
2019-07-21,53
2019-07-28,69
2019-08-04,84
2019-08-11,48
2019-08-18,42
2019-08-25,47
2019-09-01,36
2019-09-08,34
2019-09-15,39
2019-09-22,42
2019-09-29,39
2019-10-06,37
2019-10-13,35
2019-10-20,42
2019-10-27,43
2019-11-03,38
2019-11-10,36
2019-11-17,39
2019-11-24,46
2019-12-01,52
2019-12-08,41
2019-12-15,45
2019-12-22,51
2019-12-29,50
2020-01-05,48
2020-01-12,47
2020-01-19,50
2020-01-26,57
2020-02-02,37
2020-02-09,33
2020-02-16,44
2020-02-23,43
2020-03-01,39
2020-03-08,41
