date,Arts_ES
2018-01-07,90
2018-01-14,100
2018-01-21,90
2018-01-28,84
2018-02-04,88
2018-02-11,92
2018-02-18,100
2018-02-25,95
2018-03-04,85
2018-03-11,91
2018-03-18,88
2018-03-25,70
2018-04-01,84
2018-04-08,89
2018-04-15,87
2018-04-22,85
2018-04-29,85
2018-05-06,89
2018-05-13,90
2018-05-20,86
2018-05-27,90
2018-06-03,97
2018-06-10,89
2018-06-17,79
2018-06-24,72
2018-07-01,70
2018-07-08,72
2018-07-15,71
2018-07-22,69
2018-07-29,69
2018-08-05,62
2018-08-12,64
2018-08-19,61
2018-08-26,68
2018-09-02,84
2018-09-09,76
2018-09-16,86
2018-09-23,92
2018-09-30,87
2018-10-07,84
2018-10-14,85
2018-10-21,89
2018-10-28,73
2018-11-04,85
2018-11-11,86
2018-11-18,88
2018-11-25,88
2018-12-02,86
2018-12-09,85
2018-12-16,76
2018-12-23,72
2018-12-30,74
2019-01-06,87
2019-01-13,85
2019-01-20,76
2019-01-27,88
2019-02-03,83
2019-02-10,93
2019-02-17,88
2019-02-24,86
2019-03-03,85
2019-03-10,84
2019-03-17,88
2019-03-24,83
2019-03-31,90
2019-04-07,91
2019-04-14,69
2019-04-21,73
2019-04-28,82
2019-05-05,80
2019-05-12,88
2019-05-19,87
2019-05-26,84
2019-06-02,90
2019-06-09,89
2019-06-16,76
2019-06-23,73
2019-06-30,76
2019-07-07,68
2019-07-14,70
2019-07-21,67
2019-07-28,61
2019-08-04,60
2019-08-11,64
2019-08-18,63
2019-08-25,64
2019-09-01,79
2019-09-08,74
2019-09-15,86
2019-09-22,89
2019-09-29,81
2019-10-06,92
2019-10-13,83
2019-10-20,85
2019-10-27,80
2019-11-03,78
2019-11-10,85
2019-11-17,89
2019-11-24,81
2019-12-01,83
2019-12-08,79
2019-12-15,70
2019-12-22,62
2019-12-29,65
2020-01-05,79
2020-01-12,87
2020-01-19,80
2020-01-26,79
2020-02-02,80
2020-02-09,90
2020-02-16,89
2020-02-23,89
2020-03-01,90
2020-03-08,71
