date,Sports_IE
2018-01-07,63
2018-01-14,71
2018-01-21,72
2018-01-28,79
2018-02-04,64
2018-02-11,69
2018-02-18,63
2018-02-25,56
2018-03-04,73
2018-03-11,75
2018-03-18,67
2018-03-25,67
2018-04-01,75
2018-04-08,70
2018-04-15,67
2018-04-22,65
2018-04-29,66
2018-05-06,65
2018-05-13,70
2018-05-20,61
2018-05-27,68
2018-06-03,71
2018-06-10,72
2018-06-17,79
2018-06-24,78
2018-07-01,74
2018-07-08,75
2018-07-15,73
2018-07-22,66
2018-07-29,76
2018-08-05,100
2018-08-12,80
2018-08-19,70
2018-08-26,73
2018-09-02,70
2018-09-09,64
2018-09-16,73
2018-09-23,72
2018-09-30,81
2018-10-07,64
2018-10-14,61
2018-10-21,66
2018-10-28,68
2018-11-04,71
2018-11-11,62
2018-11-18,65
2018-11-25,68
2018-12-02,79
2018-12-09,92
2018-12-16,78
2018-12-23,72
2018-12-30,74
2019-01-06,69
2019-01-13,77
2019-01-20,67
2019-01-27,74
2019-02-03,81
2019-02-10,61
2019-02-17,68
2019-02-24,79
2019-03-03,67
2019-03-10,74
2019-03-17,62
2019-03-24,66
2019-03-31,61
2019-04-07,67
2019-04-14,67
2019-04-21,68
2019-04-28,67
2019-05-05,79
2019-05-12,71
2019-05-19,61
2019-05-26,60
2019-06-02,74
2019-06-09,76
2019-06-16,64
2019-06-23,66
2019-06-30,74
2019-07-07,71
2019-07-14,84
2019-07-21,74
2019-07-28,77
2019-08-04,92
2019-08-11,74
2019-08-18,78
2019-08-25,70
2019-09-01,73
2019-09-08,70
2019-09-15,75
2019-09-22,81
2019-09-29,82
2019-10-06,73
2019-10-13,76
2019-10-20,68
2019-10-27,72
2019-11-03,72
2019-11-10,63
2019-11-17,66
2019-11-24,67
2019-12-01,78
2019-12-08,64
2019-12-15,77
2019-12-22,87
2019-12-29,78
2020-01-05,70
2020-01-12,68
2020-01-19,80
2020-01-26,81
2020-02-02,66
2020-02-09,55
2020-02-16,72
2020-02-23,74
2020-03-01,67
2020-03-08,55
