date,Performing_Art_TH
2018-01-07,84
2018-01-14,13
2018-01-21,68
2018-01-28,53
2018-02-04,68
2018-02-11,52
2018-02-18,0
2018-02-25,13
2018-03-04,13
2018-03-11,38
2018-03-18,27
2018-03-25,40
2018-04-01,0
2018-04-08,30
2018-04-15,41
2018-04-22,13
2018-04-29,26
2018-05-06,41
2018-05-13,27
2018-05-20,14
2018-05-27,0
2018-06-03,27
2018-06-10,38
2018-06-17,0
2018-06-24,13
2018-07-01,12
2018-07-08,38
2018-07-15,90
2018-07-22,55
2018-07-29,13
2018-08-05,13
2018-08-12,74
2018-08-19,51
2018-08-26,62
2018-09-02,77
2018-09-09,76
2018-09-16,100
2018-09-23,26
2018-09-30,26
2018-10-07,40
2018-10-14,26
2018-10-21,13
2018-10-28,76
2018-11-04,13
2018-11-11,52
2018-11-18,14
2018-11-25,52
2018-12-02,13
2018-12-09,40
2018-12-16,25
2018-12-23,0
2018-12-30,56
2019-01-06,65
2019-01-13,13
2019-01-20,64
2019-01-27,50
2019-02-03,13
2019-02-10,49
2019-02-17,37
2019-02-24,12
2019-03-03,51
2019-03-10,12
2019-03-17,38
2019-03-24,51
2019-03-31,39
2019-04-07,44
2019-04-14,28
2019-04-21,39
2019-04-28,38
2019-05-05,27
2019-05-12,0
2019-05-19,39
2019-05-26,73
2019-06-02,99
2019-06-09,37
2019-06-16,48
2019-06-23,74
2019-06-30,48
2019-07-07,74
2019-07-14,12
2019-07-21,37
2019-07-28,73
2019-08-04,49
2019-08-11,82
2019-08-18,0
2019-08-25,47
2019-09-01,81
2019-09-08,48
2019-09-15,80
2019-09-22,22
2019-09-29,43
2019-10-06,23
2019-10-13,36
2019-10-20,66
2019-10-27,34
2019-11-03,95
2019-11-10,68
2019-11-17,58
2019-11-24,12
2019-12-01,58
2019-12-08,24
2019-12-15,22
2019-12-22,37
2019-12-29,12
2020-01-05,46
2020-01-12,64
2020-01-19,45
2020-01-26,33
2020-02-02,45
2020-02-09,71
2020-02-16,77
2020-02-23,68
2020-03-01,44
2020-03-08,91
