date,Arts_TH
2018-01-07,56
2018-01-14,43
2018-01-21,45
2018-01-28,43
2018-02-04,47
2018-02-11,51
2018-02-18,49
2018-02-25,40
2018-03-04,42
2018-03-11,37
2018-03-18,35
2018-03-25,35
2018-04-01,30
2018-04-08,25
2018-04-15,31
2018-04-22,31
2018-04-29,28
2018-05-06,31
2018-05-13,37
2018-05-20,50
2018-05-27,42
2018-06-03,48
2018-06-10,40
2018-06-17,38
2018-06-24,36
2018-07-01,36
2018-07-08,46
2018-07-15,40
2018-07-22,40
2018-07-29,45
2018-08-05,45
2018-08-12,49
2018-08-19,58
2018-08-26,53
2018-09-02,74
2018-09-09,77
2018-09-16,69
2018-09-23,61
2018-09-30,65
2018-10-07,67
2018-10-14,38
2018-10-21,39
2018-10-28,52
2018-11-04,77
2018-11-11,72
2018-11-18,68
2018-11-25,50
2018-12-02,74
2018-12-09,46
2018-12-16,61
2018-12-23,66
2018-12-30,38
2019-01-06,51
2019-01-13,42
2019-01-20,43
2019-01-27,30
2019-02-03,29
2019-02-10,32
2019-02-17,27
2019-02-24,26
2019-03-03,26
2019-03-10,24
2019-03-17,21
2019-03-24,22
2019-03-31,34
2019-04-07,27
2019-04-14,25
2019-04-21,30
2019-04-28,27
2019-05-05,28
2019-05-12,39
2019-05-19,42
2019-05-26,45
2019-06-02,40
2019-06-09,44
2019-06-16,45
2019-06-23,48
2019-06-30,41
2019-07-07,44
2019-07-14,43
2019-07-21,43
2019-07-28,46
2019-08-04,46
2019-08-11,48
2019-08-18,59
2019-08-25,60
2019-09-01,69
2019-09-08,85
2019-09-15,81
2019-09-22,61
2019-09-29,62
2019-10-06,74
2019-10-13,42
2019-10-20,40
2019-10-27,53
2019-11-03,71
2019-11-10,60
2019-11-17,51
2019-11-24,47
2019-12-01,46
2019-12-08,100
2019-12-15,66
2019-12-22,51
2019-12-29,29
2020-01-05,60
2020-01-12,41
2020-01-19,42
2020-01-26,40
2020-02-02,41
2020-02-09,41
2020-02-16,44
2020-02-23,39
2020-03-01,39
2020-03-08,39
