date,Crafts_AR
2018-01-07,12
2018-01-14,21
2018-01-21,37
2018-01-28,39
2018-02-04,32
2018-02-11,58
2018-02-18,60
2018-02-25,50
2018-03-04,52
2018-03-11,63
2018-03-18,49
2018-03-25,45
2018-04-01,60
2018-04-08,48
2018-04-15,70
2018-04-22,71
2018-04-29,85
2018-05-06,52
2018-05-13,57
2018-05-20,39
2018-05-27,37
2018-06-03,45
2018-06-10,36
2018-06-17,44
2018-06-24,37
2018-07-01,33
2018-07-08,35
2018-07-15,37
2018-07-22,49
2018-07-29,37
2018-08-05,37
2018-08-12,34
2018-08-19,37
2018-08-26,41
2018-09-02,22
2018-09-09,22
2018-09-16,44
2018-09-23,50
2018-09-30,35
2018-10-07,30
2018-10-14,48
2018-10-21,33
2018-10-28,54
2018-11-04,51
2018-11-11,50
2018-11-18,51
2018-11-25,50
2018-12-02,37
2018-12-09,60
2018-12-16,44
2018-12-23,20
2018-12-30,37
2019-01-06,41
2019-01-13,31
2019-01-20,36
2019-01-27,32
2019-02-03,74
2019-02-10,72
2019-02-17,82
2019-02-24,100
2019-03-03,65
2019-03-10,38
2019-03-17,88
2019-03-24,77
2019-03-31,40
2019-04-07,51
2019-04-14,63
2019-04-21,64
2019-04-28,85
2019-05-05,50
2019-05-12,47
2019-05-19,37
2019-05-26,46
2019-06-02,38
2019-06-09,48
2019-06-16,33
2019-06-23,38
2019-06-30,66
2019-07-07,46
2019-07-14,51
2019-07-21,42
2019-07-28,45
2019-08-04,55
2019-08-11,27
2019-08-18,42
2019-08-25,46
2019-09-01,53
2019-09-08,48
2019-09-15,44
2019-09-22,47
2019-09-29,48
2019-10-06,31
2019-10-13,56
2019-10-20,47
2019-10-27,45
2019-11-03,42
2019-11-10,35
2019-11-17,38
2019-11-24,44
2019-12-01,40
2019-12-08,39
2019-12-15,35
2019-12-22,23
2019-12-29,33
2020-01-05,29
2020-01-12,41
2020-01-19,50
2020-01-26,49
2020-02-02,46
2020-02-09,45
2020-02-16,60
2020-02-23,74
2020-03-01,76
2020-03-08,69
