date,Collecting_KR
2018-01-07,21
2018-01-14,42
2018-01-21,14
2018-01-28,22
2018-02-04,7
2018-02-11,16
2018-02-18,21
2018-02-25,14
2018-03-04,44
2018-03-11,29
2018-03-18,50
2018-03-25,43
2018-04-01,28
2018-04-08,56
2018-04-15,43
2018-04-22,14
2018-04-29,50
2018-05-06,27
2018-05-13,34
2018-05-20,14
2018-05-27,14
2018-06-03,28
2018-06-10,20
2018-06-17,42
2018-06-24,42
2018-07-01,28
2018-07-08,35
2018-07-15,57
2018-07-22,41
2018-07-29,42
2018-08-05,40
2018-08-12,48
2018-08-19,41
2018-08-26,41
2018-09-02,48
2018-09-09,20
2018-09-16,21
2018-09-23,23
2018-09-30,68
2018-10-07,44
2018-10-14,35
2018-10-21,50
2018-10-28,43
2018-11-04,14
2018-11-11,14
2018-11-18,42
2018-11-25,42
2018-12-02,21
2018-12-09,37
2018-12-16,36
2018-12-23,62
2018-12-30,60
2019-01-06,29
2019-01-13,43
2019-01-20,43
2019-01-27,73
2019-02-03,62
2019-02-10,34
2019-02-17,70
2019-02-24,71
2019-03-03,93
2019-03-10,76
2019-03-17,89
2019-03-24,70
2019-03-31,70
2019-04-07,35
2019-04-14,21
2019-04-21,42
2019-04-28,35
2019-05-05,35
2019-05-12,27
2019-05-19,14
2019-05-26,34
2019-06-02,47
2019-06-09,33
2019-06-16,34
2019-06-23,14
2019-06-30,20
2019-07-07,27
2019-07-14,28
2019-07-21,58
2019-07-28,22
2019-08-04,64
2019-08-11,41
2019-08-18,34
2019-08-25,27
2019-09-01,51
2019-09-08,35
2019-09-15,39
2019-09-22,39
2019-09-29,71
2019-10-06,79
2019-10-13,58
2019-10-20,26
2019-10-27,53
2019-11-03,52
2019-11-10,31
2019-11-17,76
2019-11-24,100
2019-12-01,0
2019-12-08,43
2019-12-15,76
2019-12-22,56
2019-12-29,68
2020-01-05,69
2020-01-12,6
2020-01-19,31
2020-01-26,41
2020-02-02,46
2020-02-09,39
2020-02-16,75
2020-02-23,44
2020-03-01,60
2020-03-08,55
