date,Game_IE
2018-01-07,78
2018-01-14,80
2018-01-21,81
2018-01-28,82
2018-02-04,91
2018-02-11,82
2018-02-18,82
2018-02-25,75
2018-03-04,81
2018-03-11,81
2018-03-18,85
2018-03-25,68
2018-04-01,69
2018-04-08,77
2018-04-15,81
2018-04-22,76
2018-04-29,75
2018-05-06,65
2018-05-13,75
2018-05-20,67
2018-05-27,72
2018-06-03,77
2018-06-10,82
2018-06-17,89
2018-06-24,84
2018-07-01,81
2018-07-08,72
2018-07-15,66
2018-07-22,64
2018-07-29,67
2018-08-05,79
2018-08-12,69
2018-08-19,67
2018-08-26,60
2018-09-02,68
2018-09-09,77
2018-09-16,72
2018-09-23,74
2018-09-30,75
2018-10-07,68
2018-10-14,86
2018-10-21,88
2018-10-28,81
2018-11-04,82
2018-11-11,83
2018-11-18,81
2018-11-25,85
2018-12-02,91
2018-12-09,86
2018-12-16,90
2018-12-23,92
2018-12-30,81
2019-01-06,66
2019-01-13,81
2019-01-20,80
2019-01-27,70
2019-02-03,74
2019-02-10,75
2019-02-17,84
2019-02-24,100
2019-03-03,75
2019-03-10,67
2019-03-17,69
2019-03-24,75
2019-03-31,75
2019-04-07,74
2019-04-14,61
2019-04-21,68
2019-04-28,83
2019-05-05,74
2019-05-12,72
2019-05-19,70
2019-05-26,65
2019-06-02,67
2019-06-09,69
2019-06-16,69
2019-06-23,66
2019-06-30,67
2019-07-07,68
2019-07-14,63
2019-07-21,59
2019-07-28,69
2019-08-04,68
2019-08-11,69
2019-08-18,72
2019-08-25,70
2019-09-01,70
2019-09-08,80
2019-09-15,75
2019-09-22,87
2019-09-29,79
2019-10-06,79
2019-10-13,79
2019-10-20,80
2019-10-27,83
2019-11-03,73
2019-11-10,84
2019-11-17,84
2019-11-24,81
2019-12-01,88
2019-12-08,91
2019-12-15,95
2019-12-22,97
2019-12-29,85
2020-01-05,75
2020-01-12,82
2020-01-19,79
2020-01-26,80
2020-02-02,77
2020-02-09,79
2020-02-16,74
2020-02-23,84
2020-03-01,78
2020-03-08,75
