date,Collecting_PL
2018-01-07,31
2018-01-14,38
2018-01-21,18
2018-01-28,28
2018-02-04,28
2018-02-11,24
2018-02-18,24
2018-02-25,20
2018-03-04,14
2018-03-11,31
2018-03-18,52
2018-03-25,26
2018-04-01,22
2018-04-08,22
2018-04-15,26
2018-04-22,29
2018-04-29,4
2018-05-06,36
2018-05-13,7
2018-05-20,11
2018-05-27,12
2018-06-03,18
2018-06-10,45
2018-06-17,32
2018-06-24,4
2018-07-01,26
2018-07-08,28
2018-07-15,37
2018-07-22,23
2018-07-29,34
2018-08-05,26
2018-08-12,35
2018-08-19,19
2018-08-26,59
2018-09-02,30
2018-09-09,18
2018-09-16,18
2018-09-23,18
2018-09-30,18
2018-10-07,15
2018-10-14,41
2018-10-21,38
2018-10-28,34
2018-11-04,42
2018-11-11,35
2018-11-18,20
2018-11-25,17
2018-12-02,48
2018-12-09,24
2018-12-16,11
2018-12-23,12
2018-12-30,22
2019-01-06,24
2019-01-13,40
2019-01-20,17
2019-01-27,17
2019-02-03,21
2019-02-10,38
2019-02-17,100
2019-02-24,48
2019-03-03,27
2019-03-10,20
2019-03-17,42
2019-03-24,24
2019-03-31,36
2019-04-07,18
2019-04-14,27
2019-04-21,26
2019-04-28,11
2019-05-05,49
2019-05-12,20
2019-05-19,10
2019-05-26,21
2019-06-02,25
2019-06-09,21
2019-06-16,11
2019-06-23,4
2019-06-30,36
2019-07-07,18
2019-07-14,33
2019-07-21,23
2019-07-28,0
2019-08-04,18
2019-08-11,11
2019-08-18,36
2019-08-25,25
2019-09-01,7
2019-09-08,38
2019-09-15,21
2019-09-22,37
2019-09-29,79
2019-10-06,63
2019-10-13,30
2019-10-20,33
2019-10-27,34
2019-11-03,42
2019-11-10,26
2019-11-17,13
2019-11-24,37
2019-12-01,25
2019-12-08,35
2019-12-15,19
2019-12-22,18
2019-12-29,17
2020-01-05,22
2020-01-12,33
2020-01-19,37
2020-01-26,12
2020-02-02,28
2020-02-09,34
2020-02-16,27
2020-02-23,26
2020-03-01,30
2020-03-08,31
