date,Game_NL
2018-01-07,62
2018-01-14,64
2018-01-21,60
2018-01-28,65
2018-02-04,73
2018-02-11,100
2018-02-18,89
2018-02-25,66
2018-03-04,58
2018-03-11,57
2018-03-18,55
2018-03-25,56
2018-04-01,59
2018-04-08,54
2018-04-15,52
2018-04-22,52
2018-04-29,54
2018-05-06,49
2018-05-13,55
2018-05-20,56
2018-05-27,57
2018-06-03,54
2018-06-10,64
2018-06-17,63
2018-06-24,60
2018-07-01,58
2018-07-08,55
2018-07-15,55
2018-07-22,45
2018-07-29,48
2018-08-05,50
2018-08-12,47
2018-08-19,52
2018-08-26,48
2018-09-02,52
2018-09-09,50
2018-09-16,53
2018-09-23,55
2018-09-30,53
2018-10-07,52
2018-10-14,56
2018-10-21,56
2018-10-28,61
2018-11-04,63
2018-11-11,66
2018-11-18,67
2018-11-25,66
2018-12-02,63
2018-12-09,60
2018-12-16,63
2018-12-23,68
2018-12-30,59
2019-01-06,53
2019-01-13,55
2019-01-20,58
2019-01-27,62
2019-02-03,59
2019-02-10,55
2019-02-17,55
2019-02-24,56
2019-03-03,56
2019-03-10,60
2019-03-17,52
2019-03-24,55
2019-03-31,48
2019-04-07,49
2019-04-14,52
2019-04-21,48
2019-04-28,49
2019-05-05,51
2019-05-12,50
2019-05-19,50
2019-05-26,48
2019-06-02,54
2019-06-09,51
2019-06-16,53
2019-06-23,51
2019-06-30,58
2019-07-07,54
2019-07-14,51
2019-07-21,43
2019-07-28,48
2019-08-04,44
2019-08-11,48
2019-08-18,48
2019-08-25,47
2019-09-01,50
2019-09-08,50
2019-09-15,49
2019-09-22,51
2019-09-29,52
2019-10-06,55
2019-10-13,58
2019-10-20,54
2019-10-27,59
2019-11-03,61
2019-11-10,67
2019-11-17,66
2019-11-24,70
2019-12-01,68
2019-12-08,63
2019-12-15,65
2019-12-22,68
2019-12-29,60
2020-01-05,57
2020-01-12,60
2020-01-19,57
2020-01-26,58
2020-02-02,55
2020-02-09,57
2020-02-16,57
2020-02-23,58
2020-03-01,54
2020-03-08,56
