date,Sports_EG
2018-01-07,23
2018-01-14,23
2018-01-21,22
2018-01-28,23
2018-02-04,24
2018-02-11,25
2018-02-18,25
2018-02-25,24
2018-03-04,26
2018-03-11,27
2018-03-18,28
2018-03-25,21
2018-04-01,25
2018-04-08,26
2018-04-15,25
2018-04-22,29
2018-04-29,27
2018-05-06,24
2018-05-13,24
2018-05-20,29
2018-05-27,25
2018-06-03,26
2018-06-10,100
2018-06-17,76
2018-06-24,37
2018-07-01,32
2018-07-08,35
2018-07-15,32
2018-07-22,28
2018-07-29,29
2018-08-05,23
2018-08-12,25
2018-08-19,20
2018-08-26,22
2018-09-02,23
2018-09-09,21
2018-09-16,22
2018-09-23,24
2018-09-30,23
2018-10-07,22
2018-10-14,22
2018-10-21,25
2018-10-28,24
2018-11-04,28
2018-11-11,23
2018-11-18,23
2018-11-25,23
2018-12-02,24
2018-12-09,25
2018-12-16,27
2018-12-23,27
2018-12-30,29
2019-01-06,34
2019-01-13,29
2019-01-20,25
2019-01-27,30
2019-02-03,27
2019-02-10,24
2019-02-17,26
2019-02-24,24
2019-03-03,22
2019-03-10,23
2019-03-17,20
2019-03-24,22
2019-03-31,21
2019-04-07,25
2019-04-14,22
2019-04-21,23
2019-04-28,24
2019-05-05,21
2019-05-12,19
2019-05-19,27
2019-05-26,35
2019-06-02,23
2019-06-09,27
2019-06-16,60
2019-06-23,32
2019-06-30,28
2019-07-07,24
2019-07-14,29
2019-07-21,25
2019-07-28,27
2019-08-04,27
2019-08-11,25
2019-08-18,26
2019-08-25,25
2019-09-01,21
2019-09-08,31
2019-09-15,23
2019-09-22,27
2019-09-29,25
2019-10-06,24
2019-10-13,23
2019-10-20,26
2019-10-27,21
2019-11-03,24
2019-11-10,25
2019-11-17,25
2019-11-24,27
2019-12-01,28
2019-12-08,25
2019-12-15,27
2019-12-22,25
2019-12-29,25
2020-01-05,26
2020-01-12,24
2020-01-19,24
2020-01-26,26
2020-02-02,23
2020-02-09,29
2020-02-16,24
2020-02-23,33
2020-03-01,28
2020-03-08,22
