date,Music_DK
2018-01-07,86
2018-01-14,81
2018-01-21,85
2018-01-28,80
2018-02-04,87
2018-02-11,74
2018-02-18,75
2018-02-25,80
2018-03-04,83
2018-03-11,80
2018-03-18,75
2018-03-25,72
2018-04-01,69
2018-04-08,75
2018-04-15,78
2018-04-22,76
2018-04-29,73
2018-05-06,72
2018-05-13,65
2018-05-20,70
2018-05-27,83
2018-06-03,78
2018-06-10,69
2018-06-17,70
2018-06-24,68
2018-07-01,72
2018-07-08,75
2018-07-15,99
2018-07-22,87
2018-07-29,85
2018-08-05,84
2018-08-12,79
2018-08-19,78
2018-08-26,78
2018-09-02,76
2018-09-09,82
2018-09-16,75
2018-09-23,79
2018-09-30,89
2018-10-07,78
2018-10-14,80
2018-10-21,83
2018-10-28,80
2018-11-04,82
2018-11-11,81
2018-11-18,78
2018-11-25,84
2018-12-02,84
2018-12-09,81
2018-12-16,83
2018-12-23,81
2018-12-30,77
2019-01-06,64
2019-01-13,76
2019-01-20,83
2019-01-27,73
2019-02-03,90
2019-02-10,78
2019-02-17,83
2019-02-24,79
2019-03-03,84
2019-03-10,80
2019-03-17,81
2019-03-24,78
2019-03-31,75
2019-04-07,76
2019-04-14,60
2019-04-21,73
2019-04-28,67
2019-05-05,74
2019-05-12,77
2019-05-19,73
2019-05-26,83
2019-06-02,66
2019-06-09,77
2019-06-16,83
2019-06-23,75
2019-06-30,88
2019-07-07,86
2019-07-14,76
2019-07-21,86
2019-07-28,87
2019-08-04,84
2019-08-11,76
2019-08-18,79
2019-08-25,68
2019-09-01,70
2019-09-08,78
2019-09-15,86
2019-09-22,85
2019-09-29,79
2019-10-06,82
2019-10-13,81
2019-10-20,81
2019-10-27,92
2019-11-03,85
2019-11-10,86
2019-11-17,75
2019-11-24,85
2019-12-01,100
2019-12-08,81
2019-12-15,75
2019-12-22,88
2019-12-29,80
2020-01-05,80
2020-01-12,84
2020-01-19,79
2020-01-26,89
2020-02-02,86
2020-02-09,79
2020-02-16,78
2020-02-23,78
2020-03-01,77
2020-03-08,60
