date,Performing_Art_CA
2018-01-07,45
2018-01-14,44
2018-01-21,47
2018-01-28,48
2018-02-04,51
2018-02-11,44
2018-02-18,44
2018-02-25,46
2018-03-04,43
2018-03-11,49
2018-03-18,57
2018-03-25,50
2018-04-01,53
2018-04-08,44
2018-04-15,41
2018-04-22,35
2018-04-29,48
2018-05-06,60
2018-05-13,41
2018-05-20,45
2018-05-27,47
2018-06-03,51
2018-06-10,54
2018-06-17,66
2018-06-24,76
2018-07-01,70
2018-07-08,70
2018-07-15,66
2018-07-22,74
2018-07-29,62
2018-08-05,63
2018-08-12,67
2018-08-19,53
2018-08-26,49
2018-09-02,50
2018-09-09,50
2018-09-16,45
2018-09-23,44
2018-09-30,54
2018-10-07,51
2018-10-14,53
2018-10-21,51
2018-10-28,55
2018-11-04,60
2018-11-11,54
2018-11-18,57
2018-11-25,64
2018-12-02,83
2018-12-09,87
2018-12-16,85
2018-12-23,70
2018-12-30,44
2019-01-06,43
2019-01-13,49
2019-01-20,42
2019-01-27,13
2019-02-03,7
2019-02-10,6
2019-02-17,4
2019-02-24,8
2019-03-03,10
2019-03-10,7
2019-03-17,6
2019-03-24,8
2019-03-31,57
2019-04-07,52
2019-04-14,52
2019-04-21,46
2019-04-28,44
2019-05-05,58
2019-05-12,50
2019-05-19,46
2019-05-26,48
2019-06-02,58
2019-06-09,53
2019-06-16,64
2019-06-23,89
2019-06-30,68
2019-07-07,70
2019-07-14,65
2019-07-21,67
2019-07-28,60
2019-08-04,62
2019-08-11,69
2019-08-18,42
2019-08-25,50
2019-09-01,45
2019-09-08,51
2019-09-15,55
2019-09-22,54
2019-09-29,45
2019-10-06,48
2019-10-13,49
2019-10-20,44
2019-10-27,58
2019-11-03,64
2019-11-10,74
2019-11-17,77
2019-11-24,71
2019-12-01,76
2019-12-08,100
2019-12-15,90
2019-12-22,70
2019-12-29,40
2020-01-05,36
2020-01-12,43
2020-01-19,53
2020-01-26,47
2020-02-02,90
2020-02-09,47
2020-02-16,45
2020-02-23,40
2020-03-01,50
2020-03-08,60
