date,Performing_Art_CO
2018-01-07,20
2018-01-14,18
2018-01-21,26
2018-01-28,58
2018-02-04,32
2018-02-11,15
2018-02-18,15
2018-02-25,74
2018-03-04,45
2018-03-11,51
2018-03-18,16
2018-03-25,19
2018-04-01,61
2018-04-08,30
2018-04-15,53
2018-04-22,23
2018-04-29,62
2018-05-06,31
2018-05-13,8
2018-05-20,53
2018-05-27,15
2018-06-03,33
2018-06-10,40
2018-06-17,24
2018-06-24,50
2018-07-01,18
2018-07-08,56
2018-07-15,17
2018-07-22,16
2018-07-29,47
2018-08-05,40
2018-08-12,39
2018-08-19,57
2018-08-26,45
2018-09-02,53
2018-09-09,23
2018-09-16,48
2018-09-23,16
2018-09-30,16
2018-10-07,35
2018-10-14,60
2018-10-21,32
2018-10-28,59
2018-11-04,9
2018-11-11,26
2018-11-18,25
2018-11-25,36
2018-12-02,20
2018-12-09,10
2018-12-16,10
2018-12-23,12
2018-12-30,61
2019-01-06,31
2019-01-13,9
2019-01-20,17
2019-01-27,25
2019-02-03,39
2019-02-10,61
2019-02-17,45
2019-02-24,100
2019-03-03,56
2019-03-10,16
2019-03-17,0
2019-03-24,8
2019-03-31,16
2019-04-07,16
2019-04-14,30
2019-04-21,47
2019-04-28,32
2019-05-05,46
2019-05-12,23
2019-05-19,45
2019-05-26,0
2019-06-02,61
2019-06-09,30
2019-06-16,31
2019-06-23,17
2019-06-30,9
2019-07-07,15
2019-07-14,23
2019-07-21,15
2019-07-28,39
2019-08-04,40
2019-08-11,29
2019-08-18,39
2019-08-25,65
2019-09-01,57
2019-09-08,21
2019-09-15,22
2019-09-22,36
2019-09-29,88
2019-10-06,46
2019-10-13,60
2019-10-20,42
2019-10-27,21
2019-11-03,38
2019-11-10,37
2019-11-17,29
2019-11-24,15
2019-12-01,24
2019-12-08,17
2019-12-15,50
2019-12-22,19
2019-12-29,0
2020-01-05,17
2020-01-12,7
2020-01-19,22
2020-01-26,42
2020-02-02,40
2020-02-09,52
2020-02-16,62
2020-02-23,30
2020-03-01,30
2020-03-08,30
