date,Pets_DE
2018-01-07,55
2018-01-14,58
2018-01-21,51
2018-01-28,55
2018-02-04,54
2018-02-11,46
2018-02-18,60
2018-02-25,51
2018-03-04,55
2018-03-11,51
2018-03-18,49
2018-03-25,53
2018-04-01,62
2018-04-08,49
2018-04-15,47
2018-04-22,50
2018-04-29,47
2018-05-06,52
2018-05-13,44
2018-05-20,51
2018-05-27,50
2018-06-03,53
2018-06-10,56
2018-06-17,47
2018-06-24,48
2018-07-01,49
2018-07-08,55
2018-07-15,40
2018-07-22,55
2018-07-29,54
2018-08-05,54
2018-08-12,55
2018-08-19,63
2018-08-26,49
2018-09-02,50
2018-09-09,47
2018-09-16,60
2018-09-23,51
2018-09-30,60
2018-10-07,58
2018-10-14,53
2018-10-21,59
2018-10-28,53
2018-11-04,60
2018-11-11,51
2018-11-18,51
2018-11-25,44
2018-12-02,57
2018-12-09,44
2018-12-16,43
2018-12-23,65
2018-12-30,58
2019-01-06,48
2019-01-13,50
2019-01-20,51
2019-01-27,75
2019-02-03,81
2019-02-10,81
2019-02-17,98
2019-02-24,97
2019-03-03,89
2019-03-10,79
2019-03-17,100
2019-03-24,89
2019-03-31,52
2019-04-07,57
2019-04-14,53
2019-04-21,57
2019-04-28,54
2019-05-05,55
2019-05-12,52
2019-05-19,49
2019-05-26,60
2019-06-02,55
2019-06-09,58
2019-06-16,60
2019-06-23,55
2019-06-30,58
2019-07-07,55
2019-07-14,90
2019-07-21,69
2019-07-28,56
2019-08-04,61
2019-08-11,54
2019-08-18,64
2019-08-25,73
2019-09-01,60
2019-09-08,69
2019-09-15,61
2019-09-22,66
2019-09-29,54
2019-10-06,52
2019-10-13,63
2019-10-20,61
2019-10-27,63
2019-11-03,73
2019-11-10,58
2019-11-17,66
2019-11-24,48
2019-12-01,54
2019-12-08,53
2019-12-15,54
2019-12-22,58
2019-12-29,61
2020-01-05,59
2020-01-12,56
2020-01-19,49
2020-01-26,57
2020-02-02,58
2020-02-09,55
2020-02-16,53
2020-02-23,57
2020-03-01,60
2020-03-08,65
