date,Arts_AU
2018-01-07,80
2018-01-14,81
2018-01-21,85
2018-01-28,91
2018-02-04,94
2018-02-11,92
2018-02-18,90
2018-02-25,94
2018-03-04,94
2018-03-11,100
2018-03-18,93
2018-03-25,86
2018-04-01,85
2018-04-08,83
2018-04-15,87
2018-04-22,84
2018-04-29,95
2018-05-06,97
2018-05-13,97
2018-05-20,94
2018-05-27,97
2018-06-03,93
2018-06-10,90
2018-06-17,88
2018-06-24,88
2018-07-01,87
2018-07-08,84
2018-07-15,84
2018-07-22,93
2018-07-29,93
2018-08-05,97
2018-08-12,99
2018-08-19,89
2018-08-26,91
2018-09-02,96
2018-09-09,94
2018-09-16,94
2018-09-23,87
2018-09-30,86
2018-10-07,82
2018-10-14,81
2018-10-21,91
2018-10-28,84
2018-11-04,82
2018-11-11,87
2018-11-18,76
2018-11-25,90
2018-12-02,81
2018-12-09,76
2018-12-16,73
2018-12-23,62
2018-12-30,71
2019-01-06,67
2019-01-13,73
2019-01-20,75
2019-01-27,83
2019-02-03,92
2019-02-10,91
2019-02-17,91
2019-02-24,89
2019-03-03,91
2019-03-10,92
2019-03-17,87
2019-03-24,96
2019-03-31,91
2019-04-07,90
2019-04-14,76
2019-04-21,78
2019-04-28,90
2019-05-05,85
2019-05-12,81
2019-05-19,88
2019-05-26,91
2019-06-02,93
2019-06-09,87
2019-06-16,89
2019-06-23,84
2019-06-30,81
2019-07-07,78
2019-07-14,81
2019-07-21,89
2019-07-28,89
2019-08-04,90
2019-08-11,90
2019-08-18,93
2019-08-25,89
2019-09-01,94
2019-09-08,93
2019-09-15,87
2019-09-22,80
2019-09-29,77
2019-10-06,79
2019-10-13,90
2019-10-20,84
2019-10-27,80
2019-11-03,87
2019-11-10,81
2019-11-17,87
2019-11-24,84
2019-12-01,89
2019-12-08,78
2019-12-15,73
2019-12-22,62
2019-12-29,67
2020-01-05,72
2020-01-12,76
2020-01-19,74
2020-01-26,74
2020-02-02,86
2020-02-09,85
2020-02-16,93
2020-02-23,91
2020-03-01,86
2020-03-08,88
