date,Learning_PL
2018-01-07,76
2018-01-14,86
2018-01-21,80
2018-01-28,52
2018-02-04,74
2018-02-11,66
2018-02-18,75
2018-02-25,93
2018-03-04,80
2018-03-11,93
2018-03-18,97
2018-03-25,79
2018-04-01,65
2018-04-08,71
2018-04-15,73
2018-04-22,59
2018-04-29,40
2018-05-06,67
2018-05-13,77
2018-05-20,87
2018-05-27,78
2018-06-03,89
2018-06-10,75
2018-06-17,87
2018-06-24,62
2018-07-01,53
2018-07-08,69
2018-07-15,71
2018-07-22,73
2018-07-29,63
2018-08-05,50
2018-08-12,68
2018-08-19,64
2018-08-26,61
2018-09-02,66
2018-09-09,76
2018-09-16,77
2018-09-23,82
2018-09-30,78
2018-10-07,85
2018-10-14,71
2018-10-21,92
2018-10-28,57
2018-11-04,89
2018-11-11,69
2018-11-18,91
2018-11-25,98
2018-12-02,67
2018-12-09,85
2018-12-16,66
2018-12-23,56
2018-12-30,81
2019-01-06,79
2019-01-13,81
2019-01-20,77
2019-01-27,97
2019-02-03,80
2019-02-10,93
2019-02-17,84
2019-02-24,79
2019-03-03,92
2019-03-10,80
2019-03-17,100
2019-03-24,77
2019-03-31,85
2019-04-07,75
2019-04-14,68
2019-04-21,61
2019-04-28,51
2019-05-05,73
2019-05-12,64
2019-05-19,81
2019-05-26,92
2019-06-02,79
2019-06-09,63
2019-06-16,70
2019-06-23,68
2019-06-30,49
2019-07-07,65
2019-07-14,68
2019-07-21,54
2019-07-28,55
2019-08-04,52
2019-08-11,58
2019-08-18,71
2019-08-25,54
2019-09-01,63
2019-09-08,74
2019-09-15,62
2019-09-22,88
2019-09-29,80
2019-10-06,92
2019-10-13,86
2019-10-20,84
2019-10-27,67
2019-11-03,79
2019-11-10,61
2019-11-17,70
2019-11-24,75
2019-12-01,71
2019-12-08,65
2019-12-15,85
2019-12-22,59
2019-12-29,74
2020-01-05,74
2020-01-12,92
2020-01-19,72
2020-01-26,69
2020-02-02,78
2020-02-09,65
2020-02-16,68
2020-02-23,72
2020-03-01,72
2020-03-08,75
