date,Game_BR
2018-01-07,33
2018-01-14,35
2018-01-21,39
2018-01-28,35
2018-02-04,37
2018-02-11,35
2018-02-18,39
2018-02-25,37
2018-03-04,38
2018-03-11,37
2018-03-18,42
2018-03-25,49
2018-04-01,36
2018-04-08,41
2018-04-15,40
2018-04-22,40
2018-04-29,42
2018-05-06,43
2018-05-13,45
2018-05-20,44
2018-05-27,49
2018-06-03,54
2018-06-10,76
2018-06-17,100
2018-06-24,87
2018-07-01,85
2018-07-08,42
2018-07-15,44
2018-07-22,46
2018-07-29,45
2018-08-05,43
2018-08-12,45
2018-08-19,46
2018-08-26,45
2018-09-02,47
2018-09-09,44
2018-09-16,44
2018-09-23,42
2018-09-30,46
2018-10-07,35
2018-10-14,42
2018-10-21,45
2018-10-28,40
2018-11-04,40
2018-11-11,45
2018-11-18,46
2018-11-25,39
2018-12-02,32
2018-12-09,30
2018-12-16,30
2018-12-23,30
2018-12-30,29
2019-01-06,32
2019-01-13,33
2019-01-20,39
2019-01-27,40
2019-02-03,37
2019-02-10,39
2019-02-17,41
2019-02-24,39
2019-03-03,40
2019-03-10,42
2019-03-17,40
2019-03-24,46
2019-03-31,45
2019-04-07,51
2019-04-14,43
2019-04-21,46
2019-04-28,49
2019-05-05,47
2019-05-12,46
2019-05-19,45
2019-05-26,47
2019-06-02,49
2019-06-09,55
2019-06-16,51
2019-06-23,49
2019-06-30,46
2019-07-07,46
2019-07-14,47
2019-07-21,51
2019-07-28,54
2019-08-04,48
2019-08-11,46
2019-08-18,51
2019-08-25,54
2019-09-01,50
2019-09-08,49
2019-09-15,49
2019-09-22,51
2019-09-29,53
2019-10-06,53
2019-10-13,53
2019-10-20,52
2019-10-27,53
2019-11-03,53
2019-11-10,58
2019-11-17,53
2019-11-24,49
2019-12-01,51
2019-12-08,41
2019-12-15,54
2019-12-22,34
2019-12-29,35
2020-01-05,34
2020-01-12,37
2020-01-19,43
2020-01-26,42
2020-02-02,45
2020-02-09,47
2020-02-16,48
2020-02-23,42
2020-03-01,47
2020-03-08,47
