date,Sports_CA
2018-01-07,82
2018-01-14,88
2018-01-21,84
2018-01-28,82
2018-02-04,92
2018-02-11,95
2018-02-18,94
2018-02-25,85
2018-03-04,85
2018-03-11,81
2018-03-18,79
2018-03-25,79
2018-04-01,80
2018-04-08,90
2018-04-15,87
2018-04-22,84
2018-04-29,83
2018-05-06,78
2018-05-13,80
2018-05-20,76
2018-05-27,81
2018-06-03,78
2018-06-10,81
2018-06-17,85
2018-06-24,76
2018-07-01,79
2018-07-08,73
2018-07-15,77
2018-07-22,66
2018-07-29,70
2018-08-05,68
2018-08-12,69
2018-08-19,71
2018-08-26,71
2018-09-02,71
2018-09-09,83
2018-09-16,80
2018-09-23,78
2018-09-30,81
2018-10-07,80
2018-10-14,82
2018-10-21,82
2018-10-28,77
2018-11-04,77
2018-11-11,79
2018-11-18,80
2018-11-25,81
2018-12-02,76
2018-12-09,78
2018-12-16,74
2018-12-23,77
2018-12-30,72
2019-01-06,81
2019-01-13,81
2019-01-20,84
2019-01-27,75
2019-02-03,81
2019-02-10,76
2019-02-17,78
2019-02-24,82
2019-03-03,85
2019-03-10,77
2019-03-17,78
2019-03-24,80
2019-03-31,75
2019-04-07,81
2019-04-14,83
2019-04-21,83
2019-04-28,80
2019-05-05,86
2019-05-12,80
2019-05-19,82
2019-05-26,91
2019-06-02,90
2019-06-09,100
2019-06-16,86
2019-06-23,75
2019-06-30,75
2019-07-07,76
2019-07-14,69
2019-07-21,68
2019-07-28,70
2019-08-04,69
2019-08-11,77
2019-08-18,75
2019-08-25,80
2019-09-01,80
2019-09-08,85
2019-09-15,82
2019-09-22,84
2019-09-29,88
2019-10-06,91
2019-10-13,89
2019-10-20,89
2019-10-27,94
2019-11-03,96
2019-11-10,94
2019-11-17,93
2019-11-24,100
2019-12-01,93
2019-12-08,90
2019-12-15,91
2019-12-22,88
2019-12-29,86
2020-01-05,89
2020-01-12,91
2020-01-19,94
2020-01-26,92
2020-02-02,99
2020-02-09,92
2020-02-16,90
2020-02-23,92
2020-03-01,88
2020-03-08,82
