date,Sports_CL
2018-01-07,56
2018-01-14,62
2018-01-21,60
2018-01-28,68
2018-02-04,57
2018-02-11,58
2018-02-18,57
2018-02-25,54
2018-03-04,57
2018-03-11,60
2018-03-18,55
2018-03-25,58
2018-04-01,65
2018-04-08,65
2018-04-15,57
2018-04-22,65
2018-04-29,59
2018-05-06,53
2018-05-13,51
2018-05-20,58
2018-05-27,60
2018-06-03,62
2018-06-10,63
2018-06-17,100
2018-06-24,82
2018-07-01,71
2018-07-08,52
2018-07-15,51
2018-07-22,53
2018-07-29,67
2018-08-05,62
2018-08-12,64
2018-08-19,57
2018-08-26,62
2018-09-02,55
2018-09-09,50
2018-09-16,58
2018-09-23,59
2018-09-30,61
2018-10-07,61
2018-10-14,63
2018-10-21,58
2018-10-28,64
2018-11-04,62
2018-11-11,58
2018-11-18,56
2018-11-25,64
2018-12-02,59
2018-12-09,61
2018-12-16,63
2018-12-23,56
2018-12-30,59
2019-01-06,63
2019-01-13,62
2019-01-20,74
2019-01-27,80
2019-02-03,65
2019-02-10,61
2019-02-17,75
2019-02-24,70
2019-03-03,71
2019-03-10,72
2019-03-17,75
2019-03-24,68
2019-03-31,70
2019-04-07,59
2019-04-14,55
2019-04-21,58
2019-04-28,59
2019-05-05,68
2019-05-12,54
2019-05-19,61
2019-05-26,58
2019-06-02,57
2019-06-09,65
2019-06-16,77
2019-06-23,62
2019-06-30,57
2019-07-07,54
2019-07-14,47
2019-07-21,49
2019-07-28,66
2019-08-04,73
2019-08-11,59
2019-08-18,62
2019-08-25,59
2019-09-01,59
2019-09-08,58
2019-09-15,49
2019-09-22,59
2019-09-29,80
2019-10-06,89
2019-10-13,80
2019-10-20,53
2019-10-27,61
2019-11-03,50
2019-11-10,49
2019-11-17,57
2019-11-24,50
2019-12-01,59
2019-12-08,66
2019-12-15,65
2019-12-22,51
2019-12-29,54
2020-01-05,62
2020-01-12,69
2020-01-19,76
2020-01-26,69
2020-02-02,77
2020-02-09,77
2020-02-16,86
2020-02-23,77
2020-03-01,84
2020-03-08,64
