date,Arts_GB
2018-01-07,95
2018-01-14,97
2018-01-21,96
2018-01-28,100
2018-02-04,99
2018-02-11,91
2018-02-18,92
2018-02-25,87
2018-03-04,93
2018-03-11,93
2018-03-18,89
2018-03-25,88
2018-04-01,82
2018-04-08,83
2018-04-15,89
2018-04-22,87
2018-04-29,84
2018-05-06,85
2018-05-13,83
2018-05-20,87
2018-05-27,76
2018-06-03,84
2018-06-10,84
2018-06-17,81
2018-06-24,77
2018-07-01,75
2018-07-08,78
2018-07-15,78
2018-07-22,75
2018-07-29,76
2018-08-05,74
2018-08-12,78
2018-08-19,83
2018-08-26,82
2018-09-02,90
2018-09-09,100
2018-09-16,96
2018-09-23,97
2018-09-30,98
2018-10-07,92
2018-10-14,97
2018-10-21,89
2018-10-28,88
2018-11-04,98
2018-11-11,95
2018-11-18,91
2018-11-25,95
2018-12-02,89
2018-12-09,85
2018-12-16,74
2018-12-23,68
2018-12-30,76
2019-01-06,89
2019-01-13,93
2019-01-20,94
2019-01-27,91
2019-02-03,97
2019-02-10,88
2019-02-17,87
2019-02-24,95
2019-03-03,91
2019-03-10,90
2019-03-17,91
2019-03-24,86
2019-03-31,85
2019-04-07,86
2019-04-14,74
2019-04-21,87
2019-04-28,86
2019-05-05,85
2019-05-12,80
2019-05-19,75
2019-05-26,79
2019-06-02,82
2019-06-09,84
2019-06-16,81
2019-06-23,78
2019-06-30,78
2019-07-07,81
2019-07-14,75
2019-07-21,68
2019-07-28,68
2019-08-04,71
2019-08-11,76
2019-08-18,82
2019-08-25,80
2019-09-01,88
2019-09-08,93
2019-09-15,88
2019-09-22,94
2019-09-29,99
2019-10-06,94
2019-10-13,99
2019-10-20,87
2019-10-27,83
2019-11-03,95
2019-11-10,96
2019-11-17,89
2019-11-24,87
2019-12-01,91
2019-12-08,83
2019-12-15,75
2019-12-22,66
2019-12-29,73
2020-01-05,90
2020-01-12,96
2020-01-19,93
2020-01-26,91
2020-02-02,95
2020-02-09,91
2020-02-16,90
2020-02-23,90
2020-03-01,87
2020-03-08,80
