date,Sports_MX
2018-01-07,29
2018-01-14,32
2018-01-21,31
2018-01-28,30
2018-02-04,30
2018-02-11,38
2018-02-18,35
2018-02-25,33
2018-03-04,38
2018-03-11,34
2018-03-18,28
2018-03-25,26
2018-04-01,30
2018-04-08,34
2018-04-15,33
2018-04-22,30
2018-04-29,32
2018-05-06,33
2018-05-13,31
2018-05-20,30
2018-05-27,31
2018-06-03,31
2018-06-10,60
2018-06-17,100
2018-06-24,87
2018-07-01,71
2018-07-08,43
2018-07-15,32
2018-07-22,28
2018-07-29,27
2018-08-05,26
2018-08-12,30
2018-08-19,36
2018-08-26,36
2018-09-02,32
2018-09-09,30
2018-09-16,36
2018-09-23,33
2018-09-30,33
2018-10-07,30
2018-10-14,32
2018-10-21,33
2018-10-28,28
2018-11-04,30
2018-11-11,30
2018-11-18,29
2018-11-25,33
2018-12-02,36
2018-12-09,35
2018-12-16,38
2018-12-23,25
2018-12-30,27
2019-01-06,30
2019-01-13,33
2019-01-20,35
2019-01-27,32
2019-02-03,38
2019-02-10,30
2019-02-17,33
2019-02-24,37
2019-03-03,34
2019-03-10,35
2019-03-17,32
2019-03-24,31
2019-03-31,33
2019-04-07,34
2019-04-14,29
2019-04-21,28
2019-04-28,34
2019-05-05,38
2019-05-12,33
2019-05-19,36
2019-05-26,32
2019-06-02,33
2019-06-09,30
2019-06-16,30
2019-06-23,33
2019-06-30,37
2019-07-07,33
2019-07-14,29
2019-07-21,29
2019-07-28,31
2019-08-04,31
2019-08-11,30
2019-08-18,33
2019-08-25,37
2019-09-01,36
2019-09-08,32
2019-09-15,34
2019-09-22,35
2019-09-29,37
2019-10-06,45
2019-10-13,36
2019-10-20,42
2019-10-27,48
2019-11-03,44
2019-11-10,42
2019-11-17,42
2019-11-24,46
2019-12-01,50
2019-12-08,41
2019-12-15,37
2019-12-22,38
2019-12-29,41
2020-01-05,34
2020-01-12,41
2020-01-19,41
2020-01-26,38
2020-02-02,40
2020-02-09,36
2020-02-16,42
2020-02-23,44
2020-03-01,42
2020-03-08,37
