date,Collecting_NL
2018-01-07,53
2018-01-14,19
2018-01-21,53
2018-01-28,58
2018-02-04,44
2018-02-11,35
2018-02-18,35
2018-02-25,60
2018-03-04,53
2018-03-11,58
2018-03-18,43
2018-03-25,24
2018-04-01,20
2018-04-08,44
2018-04-15,46
2018-04-22,15
2018-04-29,56
2018-05-06,31
2018-05-13,48
2018-05-20,43
2018-05-27,28
2018-06-03,34
2018-06-10,51
2018-06-17,61
2018-06-24,24
2018-07-01,39
2018-07-08,29
2018-07-15,37
2018-07-22,31
2018-07-29,43
2018-08-05,37
2018-08-12,37
2018-08-19,36
2018-08-26,50
2018-09-02,34
2018-09-09,78
2018-09-16,58
2018-09-23,88
2018-09-30,83
2018-10-07,55
2018-10-14,96
2018-10-21,50
2018-10-28,68
2018-11-04,77
2018-11-11,49
2018-11-18,57
2018-11-25,44
2018-12-02,43
2018-12-09,70
2018-12-16,50
2018-12-23,22
2018-12-30,61
2019-01-06,43
2019-01-13,52
2019-01-20,51
2019-01-27,56
2019-02-03,43
2019-02-10,100
2019-02-17,54
2019-02-24,53
2019-03-03,62
2019-03-10,42
2019-03-17,57
2019-03-24,73
2019-03-31,29
2019-04-07,57
2019-04-14,25
2019-04-21,35
2019-04-28,43
2019-05-05,37
2019-05-12,52
2019-05-19,38
2019-05-26,28
2019-06-02,35
2019-06-09,50
2019-06-16,55
2019-06-23,38
2019-06-30,42
2019-07-07,51
2019-07-14,24
2019-07-21,42
2019-07-28,11
2019-08-04,36
2019-08-11,40
2019-08-18,35
2019-08-25,53
2019-09-01,73
2019-09-08,74
2019-09-15,51
2019-09-22,76
2019-09-29,85
2019-10-06,67
2019-10-13,76
2019-10-20,74
2019-10-27,49
2019-11-03,71
2019-11-10,62
2019-11-17,50
2019-11-24,43
2019-12-01,32
2019-12-08,67
2019-12-15,89
2019-12-22,59
2019-12-29,65
2020-01-05,92
2020-01-12,75
2020-01-19,60
2020-01-26,64
2020-02-02,48
2020-02-09,59
2020-02-16,43
2020-02-23,51
2020-03-01,58
2020-03-08,60
