date,Game_ES
2018-01-07,79
2018-01-14,76
2018-01-21,77
2018-01-28,74
2018-02-04,70
2018-02-11,79
2018-02-18,74
2018-02-25,73
2018-03-04,72
2018-03-11,71
2018-03-18,72
2018-03-25,79
2018-04-01,69
2018-04-08,69
2018-04-15,70
2018-04-22,69
2018-04-29,72
2018-05-06,65
2018-05-13,70
2018-05-20,68
2018-05-27,69
2018-06-03,71
2018-06-10,74
2018-06-17,78
2018-06-24,76
2018-07-01,69
2018-07-08,63
2018-07-15,61
2018-07-22,62
2018-07-29,62
2018-08-05,62
2018-08-12,70
2018-08-19,63
2018-08-26,65
2018-09-02,67
2018-09-09,61
2018-09-16,64
2018-09-23,64
2018-09-30,66
2018-10-07,63
2018-10-14,67
2018-10-21,70
2018-10-28,71
2018-11-04,73
2018-11-11,76
2018-11-18,78
2018-11-25,82
2018-12-02,82
2018-12-09,81
2018-12-16,91
2018-12-23,99
2018-12-30,93
2019-01-06,72
2019-01-13,72
2019-01-20,67
2019-01-27,65
2019-02-03,63
2019-02-10,61
2019-02-17,63
2019-02-24,59
2019-03-03,59
2019-03-10,58
2019-03-17,60
2019-03-24,62
2019-03-31,64
2019-04-07,66
2019-04-14,68
2019-04-21,63
2019-04-28,64
2019-05-05,69
2019-05-12,65
2019-05-19,64
2019-05-26,62
2019-06-02,67
2019-06-09,68
2019-06-16,65
2019-06-23,62
2019-06-30,57
2019-07-07,62
2019-07-14,55
2019-07-21,59
2019-07-28,60
2019-08-04,60
2019-08-11,63
2019-08-18,61
2019-08-25,61
2019-09-01,63
2019-09-08,61
2019-09-15,63
2019-09-22,65
2019-09-29,65
2019-10-06,66
2019-10-13,65
2019-10-20,66
2019-10-27,71
2019-11-03,69
2019-11-10,73
2019-11-17,78
2019-11-24,80
2019-12-01,79
2019-12-08,84
2019-12-15,89
2019-12-22,99
2019-12-29,100
2020-01-05,77
2020-01-12,69
2020-01-19,71
2020-01-26,70
2020-02-02,68
2020-02-09,70
2020-02-16,71
2020-02-23,67
2020-03-01,68
2020-03-08,70
