date,Music_KR
2018-01-07,85
2018-01-14,84
2018-01-21,82
2018-01-28,85
2018-02-04,80
2018-02-11,81
2018-02-18,82
2018-02-25,81
2018-03-04,88
2018-03-11,86
2018-03-18,91
2018-03-25,85
2018-04-01,89
2018-04-08,99
2018-04-15,86
2018-04-22,86
2018-04-29,83
2018-05-06,85
2018-05-13,85
2018-05-20,98
2018-05-27,93
2018-06-03,100
2018-06-10,93
2018-06-17,86
2018-06-24,81
2018-07-01,87
2018-07-08,85
2018-07-15,89
2018-07-22,75
2018-07-29,90
2018-08-05,83
2018-08-12,80
2018-08-19,83
2018-08-26,85
2018-09-02,97
2018-09-09,100
2018-09-16,90
2018-09-23,95
2018-09-30,92
2018-10-07,99
2018-10-14,97
2018-10-21,93
2018-10-28,81
2018-11-04,82
2018-11-11,89
2018-11-18,77
2018-11-25,85
2018-12-02,89
2018-12-09,83
2018-12-16,80
2018-12-23,79
2018-12-30,69
2019-01-06,75
2019-01-13,78
2019-01-20,80
2019-01-27,62
2019-02-03,52
2019-02-10,50
2019-02-17,46
2019-02-24,55
2019-03-03,49
2019-03-10,47
2019-03-17,60
2019-03-24,60
2019-03-31,79
2019-04-07,86
2019-04-14,83
2019-04-21,82
2019-04-28,92
2019-05-05,89
2019-05-12,84
2019-05-19,80
2019-05-26,83
2019-06-02,87
2019-06-09,86
2019-06-16,82
2019-06-23,83
2019-06-30,79
2019-07-07,82
2019-07-14,83
2019-07-21,82
2019-07-28,77
2019-08-04,77
2019-08-11,86
2019-08-18,76
2019-08-25,89
2019-09-01,81
2019-09-08,79
2019-09-15,83
2019-09-22,82
2019-09-29,86
2019-10-06,78
2019-10-13,79
2019-10-20,90
2019-10-27,90
2019-11-03,85
2019-11-10,86
2019-11-17,81
2019-11-24,86
2019-12-01,84
2019-12-08,89
2019-12-15,83
2019-12-22,83
2019-12-29,76
2020-01-05,71
2020-01-12,75
2020-01-19,74
2020-01-26,64
2020-02-02,70
2020-02-09,68
2020-02-16,75
2020-02-23,67
2020-03-01,71
2020-03-08,76
