date,Sports_GB
2018-01-07,75
2018-01-14,83
2018-01-21,85
2018-01-28,85
2018-02-04,79
2018-02-11,84
2018-02-18,82
2018-02-25,70
2018-03-04,81
2018-03-11,80
2018-03-18,65
2018-03-25,75
2018-04-01,88
2018-04-08,87
2018-04-15,82
2018-04-22,83
2018-04-29,86
2018-05-06,83
2018-05-13,76
2018-05-20,65
2018-05-27,60
2018-06-03,62
2018-06-10,75
2018-06-17,100
2018-06-24,96
2018-07-01,96
2018-07-08,82
2018-07-15,64
2018-07-22,63
2018-07-29,72
2018-08-05,92
2018-08-12,79
2018-08-19,85
2018-08-26,88
2018-09-02,75
2018-09-09,75
2018-09-16,85
2018-09-23,86
2018-09-30,82
2018-10-07,67
2018-10-14,63
2018-10-21,73
2018-10-28,79
2018-11-04,77
2018-11-11,69
2018-11-18,64
2018-11-25,71
2018-12-02,83
2018-12-09,70
2018-12-16,92
2018-12-23,83
2018-12-30,85
2019-01-06,73
2019-01-13,76
2019-01-20,76
2019-01-27,85
2019-02-03,81
2019-02-10,80
2019-02-17,79
2019-02-24,89
2019-03-03,80
2019-03-10,91
2019-03-17,64
2019-03-24,63
2019-03-31,76
2019-04-07,80
2019-04-14,87
2019-04-21,90
2019-04-28,84
2019-05-05,90
2019-05-12,78
2019-05-19,59
2019-05-26,77
2019-06-02,73
2019-06-09,72
2019-06-16,74
2019-06-23,78
2019-06-30,85
2019-07-07,82
2019-07-14,76
2019-07-21,66
2019-07-28,78
2019-08-04,88
2019-08-11,96
2019-08-18,96
2019-08-25,85
2019-09-01,86
2019-09-08,79
2019-09-15,84
2019-09-22,89
2019-09-29,92
2019-10-06,76
2019-10-13,70
2019-10-20,88
2019-10-27,88
2019-11-03,76
2019-11-10,66
2019-11-17,71
2019-11-24,81
2019-12-01,95
2019-12-08,78
2019-12-15,83
2019-12-22,90
2019-12-29,90
2020-01-05,79
2020-01-12,80
2020-01-19,91
2020-01-26,94
2020-02-02,80
2020-02-09,70
2020-02-16,79
2020-02-23,87
2020-03-01,83
2020-03-08,74
