date,Arts_CN
2018-01-07,62
2018-01-14,91
2018-01-21,86
2018-01-28,74
2018-02-04,74
2018-02-11,47
2018-02-18,60
2018-02-25,75
2018-03-04,50
2018-03-11,74
2018-03-18,53
2018-03-25,87
2018-04-01,59
2018-04-08,74
2018-04-15,74
2018-04-22,54
2018-04-29,33
2018-05-06,58
2018-05-13,63
2018-05-20,97
2018-05-27,69
2018-06-03,67
2018-06-10,21
2018-06-17,41
2018-06-24,45
2018-07-01,65
2018-07-08,53
2018-07-15,72
2018-07-22,45
2018-07-29,28
2018-08-05,69
2018-08-12,51
2018-08-19,59
2018-08-26,86
2018-09-02,43
2018-09-09,68
2018-09-16,60
2018-09-23,63
2018-09-30,76
2018-10-07,55
2018-10-14,71
2018-10-21,72
2018-10-28,73
2018-11-04,62
2018-11-11,58
2018-11-18,72
2018-11-25,98
2018-12-02,58
2018-12-09,53
2018-12-16,67
2018-12-23,42
2018-12-30,59
2019-01-06,65
2019-01-13,64
2019-01-20,55
2019-01-27,33
2019-02-03,64
2019-02-10,30
2019-02-17,50
2019-02-24,49
2019-03-03,34
2019-03-10,53
2019-03-17,49
2019-03-24,38
2019-03-31,79
2019-04-07,51
2019-04-14,73
2019-04-21,65
2019-04-28,100
2019-05-05,47
2019-05-12,52
2019-05-19,67
2019-05-26,67
2019-06-02,54
2019-06-09,47
2019-06-16,47
2019-06-23,34
2019-06-30,43
2019-07-07,47
2019-07-14,64
2019-07-21,52
2019-07-28,39
2019-08-04,29
2019-08-11,39
2019-08-18,62
2019-08-25,38
2019-09-01,65
2019-09-08,52
2019-09-15,47
2019-09-22,55
2019-09-29,54
2019-10-06,77
2019-10-13,74
2019-10-20,71
2019-10-27,75
2019-11-03,79
2019-11-10,40
2019-11-17,74
2019-11-24,68
2019-12-01,48
2019-12-08,80
2019-12-15,62
2019-12-22,55
2019-12-29,40
2020-01-05,48
2020-01-12,58
2020-01-19,26
2020-01-26,47
2020-02-02,73
2020-02-09,50
2020-02-16,31
2020-02-23,47
2020-03-01,67
2020-03-08,45
