date,Pets_NZ
2018-01-07,100
2018-01-14,86
2018-01-21,81
2018-01-28,65
2018-02-04,58
2018-02-11,67
2018-02-18,77
2018-02-25,68
2018-03-04,82
2018-03-11,62
2018-03-18,72
2018-03-25,69
2018-04-01,54
2018-04-08,69
2018-04-15,70
2018-04-22,84
2018-04-29,65
2018-05-06,72
2018-05-13,74
2018-05-20,71
2018-05-27,78
2018-06-03,79
2018-06-10,62
2018-06-17,74
2018-06-24,80
2018-07-01,67
2018-07-08,85
2018-07-15,74
2018-07-22,62
2018-07-29,83
2018-08-05,77
2018-08-12,95
2018-08-19,75
2018-08-26,69
2018-09-02,71
2018-09-09,70
2018-09-16,69
2018-09-23,93
2018-09-30,65
2018-10-07,98
2018-10-14,89
2018-10-21,70
2018-10-28,79
2018-11-04,66
2018-11-11,78
2018-11-18,54
2018-11-25,89
2018-12-02,81
2018-12-09,71
2018-12-16,81
2018-12-23,72
2018-12-30,93
2019-01-06,76
2019-01-13,82
2019-01-20,95
2019-01-27,82
2019-02-03,80
2019-02-10,73
2019-02-17,82
2019-02-24,74
2019-03-03,71
2019-03-10,70
2019-03-17,59
2019-03-24,68
2019-03-31,86
2019-04-07,75
2019-04-14,84
2019-04-21,78
2019-04-28,82
2019-05-05,95
2019-05-12,60
2019-05-19,84
2019-05-26,81
2019-06-02,96
2019-06-09,83
2019-06-16,78
2019-06-23,86
2019-06-30,73
2019-07-07,79
2019-07-14,77
2019-07-21,83
2019-07-28,53
2019-08-04,83
2019-08-11,91
2019-08-18,79
2019-08-25,76
2019-09-01,68
2019-09-08,86
2019-09-15,92
2019-09-22,91
2019-09-29,84
2019-10-06,92
2019-10-13,72
2019-10-20,77
2019-10-27,78
2019-11-03,70
2019-11-10,74
2019-11-17,69
2019-11-24,85
2019-12-01,82
2019-12-08,70
2019-12-15,93
2019-12-22,81
2019-12-29,80
2020-01-05,76
2020-01-12,100
2020-01-19,94
2020-01-26,83
2020-02-02,83
2020-02-09,82
2020-02-16,71
2020-02-23,80
2020-03-01,73
2020-03-08,73
