date,Cooking_NZ
2018-01-07,52
2018-01-14,43
2018-01-21,48
2018-01-28,44
2018-02-04,49
2018-02-11,35
2018-02-18,31
2018-02-25,41
2018-03-04,41
2018-03-11,47
2018-03-18,41
2018-03-25,45
2018-04-01,32
2018-04-08,28
2018-04-15,39
2018-04-22,50
2018-04-29,46
2018-05-06,45
2018-05-13,45
2018-05-20,44
2018-05-27,44
2018-06-03,44
2018-06-10,47
2018-06-17,49
2018-06-24,41
2018-07-01,38
2018-07-08,47
2018-07-15,47
2018-07-22,44
2018-07-29,43
2018-08-05,42
2018-08-12,43
2018-08-19,43
2018-08-26,42
2018-09-02,47
2018-09-09,44
2018-09-16,36
2018-09-23,39
2018-09-30,32
2018-10-07,39
2018-10-14,43
2018-10-21,35
2018-10-28,39
2018-11-04,39
2018-11-11,43
2018-11-18,44
2018-11-25,44
2018-12-02,46
2018-12-09,42
2018-12-16,56
2018-12-23,87
2018-12-30,44
2019-01-06,45
2019-01-13,54
2019-01-20,47
2019-01-27,35
2019-02-03,40
2019-02-10,45
2019-02-17,47
2019-02-24,46
2019-03-03,39
2019-03-10,36
2019-03-17,50
2019-03-24,39
2019-03-31,47
2019-04-07,44
2019-04-14,45
2019-04-21,54
2019-04-28,40
2019-05-05,51
2019-05-12,50
2019-05-19,35
2019-05-26,45
2019-06-02,41
2019-06-09,42
2019-06-16,40
2019-06-23,43
2019-06-30,39
2019-07-07,43
2019-07-14,33
2019-07-21,45
2019-07-28,53
2019-08-04,28
2019-08-11,43
2019-08-18,39
2019-08-25,36
2019-09-01,46
2019-09-08,32
2019-09-15,40
2019-09-22,42
2019-09-29,38
2019-10-06,37
2019-10-13,41
2019-10-20,35
2019-10-27,39
2019-11-03,38
2019-11-10,38
2019-11-17,46
2019-11-24,36
2019-12-01,47
2019-12-08,53
2019-12-15,44
2019-12-22,100
2019-12-29,70
2020-01-05,46
2020-01-12,49
2020-01-19,42
2020-01-26,41
2020-02-02,47
2020-02-09,41
2020-02-16,33
2020-02-23,44
2020-03-01,45
2020-03-08,34
