date,Learning_IL
2018-01-07,80
2018-01-14,74
2018-01-21,67
2018-01-28,48
2018-02-04,72
2018-02-11,60
2018-02-18,52
2018-02-25,62
2018-03-04,86
2018-03-11,67
2018-03-18,48
2018-03-25,62
2018-04-01,67
2018-04-08,64
2018-04-15,75
2018-04-22,75
2018-04-29,63
2018-05-06,69
2018-05-13,91
2018-05-20,52
2018-05-27,91
2018-06-03,84
2018-06-10,80
2018-06-17,62
2018-06-24,77
2018-07-01,74
2018-07-08,61
2018-07-15,75
2018-07-22,66
2018-07-29,76
2018-08-05,66
2018-08-12,67
2018-08-19,42
2018-08-26,71
2018-09-02,79
2018-09-09,69
2018-09-16,80
2018-09-23,50
2018-09-30,59
2018-10-07,71
2018-10-14,74
2018-10-21,47
2018-10-28,54
2018-11-04,71
2018-11-11,85
2018-11-18,100
2018-11-25,88
2018-12-02,92
2018-12-09,79
2018-12-16,76
2018-12-23,71
2018-12-30,83
2019-01-06,69
2019-01-13,65
2019-01-20,97
2019-01-27,53
2019-02-03,59
2019-02-10,74
2019-02-17,76
2019-02-24,59
2019-03-03,47
2019-03-10,84
2019-03-17,55
2019-03-24,84
2019-03-31,87
2019-04-07,44
2019-04-14,63
2019-04-21,52
2019-04-28,83
2019-05-05,62
2019-05-12,72
2019-05-19,53
2019-05-26,63
2019-06-02,81
2019-06-09,59
2019-06-16,65
2019-06-23,55
2019-06-30,66
2019-07-07,88
2019-07-14,72
2019-07-21,95
2019-07-28,60
2019-08-04,70
2019-08-11,62
2019-08-18,52
2019-08-25,65
2019-09-01,69
2019-09-08,74
2019-09-15,56
2019-09-22,60
2019-09-29,69
2019-10-06,48
2019-10-13,73
2019-10-20,61
2019-10-27,67
2019-11-03,75
2019-11-10,75
2019-11-17,69
2019-11-24,73
2019-12-01,75
2019-12-08,67
2019-12-15,80
2019-12-22,83
2019-12-29,72
2020-01-05,90
2020-01-12,70
2020-01-19,63
2020-01-26,93
2020-02-02,75
2020-02-09,56
2020-02-16,44
2020-02-23,47
2020-03-01,68
2020-03-08,71
