date,Sports_NZ
2018-01-07,27
2018-01-14,26
2018-01-21,31
2018-01-28,28
2018-02-04,31
2018-02-11,36
2018-02-18,38
2018-02-25,31
2018-03-04,34
2018-03-11,39
2018-03-18,37
2018-03-25,46
2018-04-01,39
2018-04-08,41
2018-04-15,30
2018-04-22,31
2018-04-29,33
2018-05-06,32
2018-05-13,38
2018-05-20,32
2018-05-27,31
2018-06-03,34
2018-06-10,36
2018-06-17,35
2018-06-24,34
2018-07-01,36
2018-07-08,30
2018-07-15,29
2018-07-22,35
2018-07-29,33
2018-08-05,32
2018-08-12,38
2018-08-19,36
2018-08-26,32
2018-09-02,33
2018-09-09,29
2018-09-16,31
2018-09-23,30
2018-09-30,28
2018-10-07,28
2018-10-14,35
2018-10-21,31
2018-10-28,35
2018-11-04,32
2018-11-11,29
2018-11-18,33
2018-11-25,30
2018-12-02,33
2018-12-09,29
2018-12-16,25
2018-12-23,29
2018-12-30,32
2019-01-06,29
2019-01-13,27
2019-01-20,30
2019-01-27,26
2019-02-03,33
2019-02-10,33
2019-02-17,37
2019-02-24,32
2019-03-03,28
2019-03-10,40
2019-03-17,31
2019-03-24,30
2019-03-31,36
2019-04-07,38
2019-04-14,35
2019-04-21,31
2019-04-28,36
2019-05-05,35
2019-05-12,35
2019-05-19,35
2019-05-26,37
2019-06-02,38
2019-06-09,36
2019-06-16,39
2019-06-23,39
2019-06-30,37
2019-07-07,41
2019-07-14,40
2019-07-21,41
2019-07-28,39
2019-08-04,44
2019-08-11,48
2019-08-18,48
2019-08-25,42
2019-09-01,50
2019-09-08,44
2019-09-15,100
2019-09-22,67
2019-09-29,66
2019-10-06,52
2019-10-13,70
2019-10-20,58
2019-10-27,52
2019-11-03,34
2019-11-10,35
2019-11-17,32
2019-11-24,41
2019-12-01,36
2019-12-08,35
2019-12-15,28
2019-12-22,36
2019-12-29,31
2020-01-05,29
2020-01-12,33
2020-01-19,38
2020-01-26,39
2020-02-02,36
2020-02-09,37
2020-02-16,42
2020-02-23,40
2020-03-01,37
2020-03-08,34
