date,Collecting_CZ
2018-01-07,64
2018-01-14,47
2018-01-21,47
2018-01-28,66
2018-02-04,66
2018-02-11,59
2018-02-18,29
2018-02-25,42
2018-03-04,36
2018-03-11,47
2018-03-18,84
2018-03-25,43
2018-04-01,38
2018-04-08,18
2018-04-15,31
2018-04-22,24
2018-04-29,25
2018-05-06,6
2018-05-13,24
2018-05-20,31
2018-05-27,18
2018-06-03,44
2018-06-10,53
2018-06-17,25
2018-06-24,44
2018-07-01,42
2018-07-08,44
2018-07-15,26
2018-07-22,51
2018-07-29,52
2018-08-05,44
2018-08-12,63
2018-08-19,82
2018-08-26,37
2018-09-02,67
2018-09-09,43
2018-09-16,37
2018-09-23,50
2018-09-30,12
2018-10-07,43
2018-10-14,54
2018-10-21,48
2018-10-28,41
2018-11-04,29
2018-11-11,82
2018-11-18,51
2018-11-25,29
2018-12-02,24
2018-12-09,65
2018-12-16,25
2018-12-23,83
2018-12-30,43
2019-01-06,34
2019-01-13,80
2019-01-20,63
2019-01-27,41
2019-02-03,40
2019-02-10,46
2019-02-17,41
2019-02-24,100
2019-03-03,12
2019-03-10,17
2019-03-17,36
2019-03-24,18
2019-03-31,30
2019-04-07,35
2019-04-14,6
2019-04-21,6
2019-04-28,75
2019-05-05,62
2019-05-12,50
2019-05-19,28
2019-05-26,63
2019-06-02,41
2019-06-09,53
2019-06-16,47
2019-06-23,37
2019-06-30,26
2019-07-07,48
2019-07-14,25
2019-07-21,32
2019-07-28,31
2019-08-04,43
2019-08-11,53
2019-08-18,60
2019-08-25,60
2019-09-01,91
2019-09-08,34
2019-09-15,57
2019-09-22,34
2019-09-29,32
2019-10-06,70
2019-10-13,64
2019-10-20,48
2019-10-27,43
2019-11-03,41
2019-11-10,50
2019-11-17,56
2019-11-24,51
2019-12-01,42
2019-12-08,67
2019-12-15,26
2019-12-22,53
2019-12-29,21
2020-01-05,29
2020-01-12,48
2020-01-19,39
2020-01-26,44
2020-02-02,58
2020-02-09,39
2020-02-16,43
2020-02-23,37
2020-03-01,37
2020-03-08,49
