date,Crafts_SA
2018-01-07,27
2018-01-14,28
2018-01-21,39
2018-01-28,40
2018-02-04,36
2018-02-11,73
2018-02-18,55
2018-02-25,23
2018-03-04,40
2018-03-11,53
2018-03-18,83
2018-03-25,49
2018-04-01,40
2018-04-08,100
2018-04-15,61
2018-04-22,37
2018-04-29,37
2018-05-06,20
2018-05-13,30
2018-05-20,25
2018-05-27,36
2018-06-03,28
2018-06-10,19
2018-06-17,22
2018-06-24,19
2018-07-01,17
2018-07-08,27
2018-07-15,10
2018-07-22,27
2018-07-29,21
2018-08-05,24
2018-08-12,31
2018-08-19,16
2018-08-26,31
2018-09-02,20
2018-09-09,46
2018-09-16,52
2018-09-23,33
2018-09-30,60
2018-10-07,17
2018-10-14,33
2018-10-21,44
2018-10-28,47
2018-11-04,53
2018-11-11,31
2018-11-18,41
2018-11-25,34
2018-12-02,34
2018-12-09,27
2018-12-16,24
2018-12-23,21
2018-12-30,22
2019-01-06,17
2019-01-13,49
2019-01-20,53
2019-01-27,23
2019-02-03,26
2019-02-10,58
2019-02-17,47
2019-02-24,26
2019-03-03,40
2019-03-10,34
2019-03-17,61
2019-03-24,47
2019-03-31,63
2019-04-07,56
2019-04-14,20
2019-04-21,36
2019-04-28,22
2019-05-05,7
2019-05-12,24
2019-05-19,53
2019-05-26,10
2019-06-02,19
2019-06-09,26
2019-06-16,13
2019-06-23,13
2019-06-30,19
2019-07-07,29
2019-07-14,47
2019-07-21,34
2019-07-28,17
2019-08-04,17
2019-08-11,23
2019-08-18,37
2019-08-25,22
2019-09-01,22
2019-09-08,34
2019-09-15,21
2019-09-22,41
2019-09-29,39
2019-10-06,56
2019-10-13,44
2019-10-20,66
2019-10-27,37
2019-11-03,43
2019-11-10,44
2019-11-17,47
2019-11-24,58
2019-12-01,40
2019-12-08,12
2019-12-15,27
2019-12-22,40
2019-12-29,30
2020-01-05,20
2020-01-12,44
2020-01-19,24
2020-01-26,41
2020-02-02,41
2020-02-09,26
2020-02-16,43
2020-02-23,37
2020-03-01,54
2020-03-08,36
