date,Collecting_RU
2018-01-07,100
2018-01-14,52
2018-01-21,65
2018-01-28,58
2018-02-04,61
2018-02-11,78
2018-02-18,58
2018-02-25,63
2018-03-04,90
2018-03-11,48
2018-03-18,58
2018-03-25,38
2018-04-01,70
2018-04-08,61
2018-04-15,75
2018-04-22,54
2018-04-29,62
2018-05-06,52
2018-05-13,74
2018-05-20,44
2018-05-27,42
2018-06-03,58
2018-06-10,84
2018-06-17,45
2018-06-24,25
2018-07-01,35
2018-07-08,61
2018-07-15,59
2018-07-22,59
2018-07-29,49
2018-08-05,85
2018-08-12,67
2018-08-19,60
2018-08-26,48
2018-09-02,59
2018-09-09,53
2018-09-16,80
2018-09-23,46
2018-09-30,75
2018-10-07,56
2018-10-14,62
2018-10-21,49
2018-10-28,78
2018-11-04,94
2018-11-11,89
2018-11-18,69
2018-11-25,80
2018-12-02,75
2018-12-09,66
2018-12-16,73
2018-12-23,75
2018-12-30,81
2019-01-06,50
2019-01-13,64
2019-01-20,87
2019-01-27,40
2019-02-03,37
2019-02-10,34
2019-02-17,49
2019-02-24,55
2019-03-03,47
2019-03-10,41
2019-03-17,45
2019-03-24,46
2019-03-31,56
2019-04-07,83
2019-04-14,45
2019-04-21,67
2019-04-28,76
2019-05-05,42
2019-05-12,64
2019-05-19,67
2019-05-26,69
2019-06-02,65
2019-06-09,69
2019-06-16,99
2019-06-23,78
2019-06-30,53
2019-07-07,76
2019-07-14,69
2019-07-21,47
2019-07-28,54
2019-08-04,51
2019-08-11,54
2019-08-18,65
2019-08-25,49
2019-09-01,82
2019-09-08,62
2019-09-15,89
2019-09-22,74
2019-09-29,86
2019-10-06,76
2019-10-13,85
2019-10-20,80
2019-10-27,80
2019-11-03,67
2019-11-10,61
2019-11-17,77
2019-11-24,89
2019-12-01,50
2019-12-08,49
2019-12-15,81
2019-12-22,68
2019-12-29,63
2020-01-05,85
2020-01-12,62
2020-01-19,45
2020-01-26,57
2020-02-02,60
2020-02-09,60
2020-02-16,89
2020-02-23,56
2020-03-01,51
2020-03-08,59
