date,Pets_IE
2018-01-07,54
2018-01-14,62
2018-01-21,77
2018-01-28,50
2018-02-04,53
2018-02-11,58
2018-02-18,82
2018-02-25,46
2018-03-04,69
2018-03-11,61
2018-03-18,58
2018-03-25,63
2018-04-01,57
2018-04-08,57
2018-04-15,61
2018-04-22,56
2018-04-29,68
2018-05-06,60
2018-05-13,53
2018-05-20,61
2018-05-27,73
2018-06-03,73
2018-06-10,75
2018-06-17,58
2018-06-24,63
2018-07-01,69
2018-07-08,76
2018-07-15,65
2018-07-22,66
2018-07-29,71
2018-08-05,84
2018-08-12,43
2018-08-19,81
2018-08-26,81
2018-09-02,68
2018-09-09,80
2018-09-16,59
2018-09-23,70
2018-09-30,70
2018-10-07,69
2018-10-14,69
2018-10-21,70
2018-10-28,75
2018-11-04,87
2018-11-11,53
2018-11-18,68
2018-11-25,56
2018-12-02,68
2018-12-09,52
2018-12-16,66
2018-12-23,64
2018-12-30,71
2019-01-06,67
2019-01-13,56
2019-01-20,66
2019-01-27,54
2019-02-03,68
2019-02-10,60
2019-02-17,100
2019-02-24,62
2019-03-03,52
2019-03-10,55
2019-03-17,74
2019-03-24,76
2019-03-31,67
2019-04-07,77
2019-04-14,70
2019-04-21,68
2019-04-28,73
2019-05-05,69
2019-05-12,68
2019-05-19,68
2019-05-26,70
2019-06-02,79
2019-06-09,96
2019-06-16,77
2019-06-23,70
2019-06-30,80
2019-07-07,63
2019-07-14,79
2019-07-21,77
2019-07-28,83
2019-08-04,67
2019-08-11,74
2019-08-18,57
2019-08-25,71
2019-09-01,91
2019-09-08,58
2019-09-15,75
2019-09-22,64
2019-09-29,70
2019-10-06,74
2019-10-13,75
2019-10-20,51
2019-10-27,59
2019-11-03,59
2019-11-10,63
2019-11-17,60
2019-11-24,80
2019-12-01,82
2019-12-08,78
2019-12-15,74
2019-12-22,73
2019-12-29,56
2020-01-05,54
2020-01-12,67
2020-01-19,68
2020-01-26,67
2020-02-02,64
2020-02-09,58
2020-02-16,83
2020-02-23,57
2020-03-01,73
2020-03-08,63
