date,Arts_IL
2018-01-07,73
2018-01-14,79
2018-01-21,63
2018-01-28,75
2018-02-04,82
2018-02-11,59
2018-02-18,62
2018-02-25,70
2018-03-04,66
2018-03-11,74
2018-03-18,78
2018-03-25,69
2018-04-01,66
2018-04-08,61
2018-04-15,59
2018-04-22,68
2018-04-29,65
2018-05-06,81
2018-05-13,63
2018-05-20,72
2018-05-27,78
2018-06-03,67
2018-06-10,80
2018-06-17,78
2018-06-24,50
2018-07-01,72
2018-07-08,73
2018-07-15,72
2018-07-22,72
2018-07-29,62
2018-08-05,66
2018-08-12,69
2018-08-19,72
2018-08-26,74
2018-09-02,71
2018-09-09,54
2018-09-16,67
2018-09-23,63
2018-09-30,58
2018-10-07,63
2018-10-14,80
2018-10-21,77
2018-10-28,55
2018-11-04,61
2018-11-11,71
2018-11-18,57
2018-11-25,78
2018-12-02,70
2018-12-09,76
2018-12-16,72
2018-12-23,79
2018-12-30,67
2019-01-06,68
2019-01-13,74
2019-01-20,93
2019-01-27,57
2019-02-03,59
2019-02-10,67
2019-02-17,58
2019-02-24,79
2019-03-03,66
2019-03-10,52
2019-03-17,59
2019-03-24,64
2019-03-31,73
2019-04-07,67
2019-04-14,64
2019-04-21,52
2019-04-28,62
2019-05-05,66
2019-05-12,78
2019-05-19,73
2019-05-26,71
2019-06-02,64
2019-06-09,77
2019-06-16,78
2019-06-23,60
2019-06-30,62
2019-07-07,69
2019-07-14,63
2019-07-21,63
2019-07-28,44
2019-08-04,67
2019-08-11,57
2019-08-18,63
2019-08-25,67
2019-09-01,76
2019-09-08,69
2019-09-15,86
2019-09-22,70
2019-09-29,65
2019-10-06,58
2019-10-13,59
2019-10-20,64
2019-10-27,62
2019-11-03,63
2019-11-10,75
2019-11-17,62
2019-11-24,80
2019-12-01,100
2019-12-08,77
2019-12-15,84
2019-12-22,59
2019-12-29,74
2020-01-05,62
2020-01-12,79
2020-01-19,78
2020-01-26,74
2020-02-02,74
2020-02-09,70
2020-02-16,74
2020-02-23,80
2020-03-01,54
2020-03-08,51
