date,Game_ID
2018-01-07,63
2018-01-14,65
2018-01-21,64
2018-01-28,64
2018-02-04,66
2018-02-11,65
2018-02-18,62
2018-02-25,61
2018-03-04,63
2018-03-11,66
2018-03-18,66
2018-03-25,66
2018-04-01,59
2018-04-08,64
2018-04-15,61
2018-04-22,59
2018-04-29,60
2018-05-06,60
2018-05-13,65
2018-05-20,73
2018-05-27,71
2018-06-03,70
2018-06-10,75
2018-06-17,68
2018-06-24,61
2018-07-01,63
2018-07-08,60
2018-07-15,58
2018-07-22,58
2018-07-29,59
2018-08-05,59
2018-08-12,76
2018-08-19,100
2018-08-26,90
2018-09-02,73
2018-09-09,66
2018-09-16,64
2018-09-23,61
2018-09-30,60
2018-10-07,62
2018-10-14,58
2018-10-21,55
2018-10-28,55
2018-11-04,57
2018-11-11,57
2018-11-18,60
2018-11-25,66
2018-12-02,70
2018-12-09,64
2018-12-16,67
2018-12-23,70
2018-12-30,69
2019-01-06,60
2019-01-13,63
2019-01-20,61
2019-01-27,54
2019-02-03,53
2019-02-10,53
2019-02-17,51
2019-02-24,50
2019-03-03,56
2019-03-10,55
2019-03-17,55
2019-03-24,56
2019-03-31,58
2019-04-07,55
2019-04-14,57
2019-04-21,54
2019-04-28,54
2019-05-05,58
2019-05-12,61
2019-05-19,60
2019-05-26,67
2019-06-02,74
2019-06-09,64
2019-06-16,60
2019-06-23,59
2019-06-30,56
2019-07-07,55
2019-07-14,52
2019-07-21,49
2019-07-28,49
2019-08-04,50
2019-08-11,52
2019-08-18,51
2019-08-25,50
2019-09-01,53
2019-09-08,52
2019-09-15,57
2019-09-22,56
2019-09-29,53
2019-10-06,51
2019-10-13,53
2019-10-20,46
2019-10-27,48
2019-11-03,49
2019-11-10,48
2019-11-17,46
2019-11-24,51
2019-12-01,65
2019-12-08,60
2019-12-15,52
2019-12-22,56
2019-12-29,57
2020-01-05,51
2020-01-12,52
2020-01-19,55
2020-01-26,54
2020-02-02,52
2020-02-09,50
2020-02-16,52
2020-02-23,52
2020-03-01,50
2020-03-08,54
