date,Performing_Art_ID
2018-01-07,41
2018-01-14,45
2018-01-21,46
2018-01-28,50
2018-02-04,54
2018-02-11,65
2018-02-18,69
2018-02-25,57
2018-03-04,74
2018-03-11,75
2018-03-18,52
2018-03-25,60
2018-04-01,35
2018-04-08,44
2018-04-15,56
2018-04-22,43
2018-04-29,51
2018-05-06,59
2018-05-13,40
2018-05-20,78
2018-05-27,45
2018-06-03,16
2018-06-10,7
2018-06-17,7
2018-06-24,11
2018-07-01,13
2018-07-08,10
2018-07-15,12
2018-07-22,20
2018-07-29,30
2018-08-05,26
2018-08-12,36
2018-08-19,30
2018-08-26,36
2018-09-02,33
2018-09-09,24
2018-09-16,32
2018-09-23,35
2018-09-30,34
2018-10-07,51
2018-10-14,38
2018-10-21,33
2018-10-28,40
2018-11-04,41
2018-11-11,46
2018-11-18,49
2018-11-25,70
2018-12-02,54
2018-12-09,34
2018-12-16,16
2018-12-23,10
2018-12-30,18
2019-01-06,37
2019-01-13,49
2019-01-20,66
2019-01-27,69
2019-02-03,60
2019-02-10,65
2019-02-17,70
2019-02-24,78
2019-03-03,86
2019-03-10,84
2019-03-17,86
2019-03-24,60
2019-03-31,62
2019-04-07,67
2019-04-14,45
2019-04-21,46
2019-04-28,47
2019-05-05,33
2019-05-12,100
2019-05-19,87
2019-05-26,23
2019-06-02,12
2019-06-09,21
2019-06-16,37
2019-06-23,15
2019-06-30,14
2019-07-07,16
2019-07-14,21
2019-07-21,27
2019-07-28,36
2019-08-04,34
2019-08-11,26
2019-08-18,29
2019-08-25,50
2019-09-01,50
2019-09-08,45
2019-09-15,38
2019-09-22,52
2019-09-29,42
2019-10-06,34
2019-10-13,44
2019-10-20,47
2019-10-27,43
2019-11-03,37
2019-11-10,46
2019-11-17,52
2019-11-24,52
2019-12-01,80
2019-12-08,46
2019-12-15,17
2019-12-22,15
2019-12-29,17
2020-01-05,26
2020-01-12,76
2020-01-19,73
2020-01-26,78
2020-02-02,69
2020-02-09,68
2020-02-16,85
2020-02-23,89
2020-03-01,95
2020-03-08,93
