date,Arts_NZ
2018-01-07,68
2018-01-14,63
2018-01-21,73
2018-01-28,80
2018-02-04,92
2018-02-11,96
2018-02-18,82
2018-02-25,89
2018-03-04,93
2018-03-11,89
2018-03-18,82
2018-03-25,77
2018-04-01,70
2018-04-08,73
2018-04-15,77
2018-04-22,75
2018-04-29,88
2018-05-06,96
2018-05-13,88
2018-05-20,84
2018-05-27,100
2018-06-03,84
2018-06-10,84
2018-06-17,83
2018-06-24,84
2018-07-01,90
2018-07-08,69
2018-07-15,84
2018-07-22,94
2018-07-29,83
2018-08-05,81
2018-08-12,88
2018-08-19,89
2018-08-26,92
2018-09-02,74
2018-09-09,83
2018-09-16,83
2018-09-23,90
2018-09-30,65
2018-10-07,87
2018-10-14,89
2018-10-21,82
2018-10-28,88
2018-11-04,77
2018-11-11,68
2018-11-18,71
2018-11-25,82
2018-12-02,82
2018-12-09,70
2018-12-16,59
2018-12-23,52
2018-12-30,56
2019-01-06,63
2019-01-13,66
2019-01-20,65
2019-01-27,61
2019-02-03,88
2019-02-10,82
2019-02-17,96
2019-02-24,72
2019-03-03,75
2019-03-10,76
2019-03-17,81
2019-03-24,80
2019-03-31,76
2019-04-07,79
2019-04-14,62
2019-04-21,71
2019-04-28,98
2019-05-05,80
2019-05-12,78
2019-05-19,81
2019-05-26,87
2019-06-02,82
2019-06-09,78
2019-06-16,73
2019-06-23,92
2019-06-30,74
2019-07-07,69
2019-07-14,68
2019-07-21,92
2019-07-28,77
2019-08-04,82
2019-08-11,89
2019-08-18,91
2019-08-25,85
2019-09-01,92
2019-09-08,94
2019-09-15,77
2019-09-22,82
2019-09-29,68
2019-10-06,73
2019-10-13,80
2019-10-20,73
2019-10-27,77
2019-11-03,73
2019-11-10,77
2019-11-17,73
2019-11-24,74
2019-12-01,67
2019-12-08,64
2019-12-15,62
2019-12-22,46
2019-12-29,69
2020-01-05,59
2020-01-12,60
2020-01-19,76
2020-01-26,73
2020-02-02,86
2020-02-09,87
2020-02-16,77
2020-02-23,65
2020-03-01,81
2020-03-08,72
