date,Crafts_CO
2018-01-07,17
2018-01-14,77
2018-01-21,57
2018-01-28,54
2018-02-04,63
2018-02-11,57
2018-02-18,69
2018-02-25,66
2018-03-04,84
2018-03-11,52
2018-03-18,60
2018-03-25,39
2018-04-01,66
2018-04-08,88
2018-04-15,67
2018-04-22,91
2018-04-29,64
2018-05-06,42
2018-05-13,70
2018-05-20,73
2018-05-27,67
2018-06-03,69
2018-06-10,54
2018-06-17,54
2018-06-24,51
2018-07-01,69
2018-07-08,64
2018-07-15,62
2018-07-22,79
2018-07-29,94
2018-08-05,75
2018-08-12,83
2018-08-19,58
2018-08-26,72
2018-09-02,89
2018-09-09,53
2018-09-16,63
2018-09-23,65
2018-09-30,73
2018-10-07,57
2018-10-14,56
2018-10-21,86
2018-10-28,84
2018-11-04,74
2018-11-11,60
2018-11-18,50
2018-11-25,40
2018-12-02,52
2018-12-09,37
2018-12-16,17
2018-12-23,46
2018-12-30,21
2019-01-06,53
2019-01-13,95
2019-01-20,66
2019-01-27,84
2019-02-03,52
2019-02-10,100
2019-02-17,67
2019-02-24,61
2019-03-03,85
2019-03-10,69
2019-03-17,89
2019-03-24,84
2019-03-31,81
2019-04-07,64
2019-04-14,51
2019-04-21,75
2019-04-28,55
2019-05-05,74
2019-05-12,81
2019-05-19,85
2019-05-26,76
2019-06-02,60
2019-06-09,65
2019-06-16,59
2019-06-23,49
2019-06-30,59
2019-07-07,69
2019-07-14,64
2019-07-21,53
2019-07-28,77
2019-08-04,79
2019-08-11,61
2019-08-18,80
2019-08-25,80
2019-09-01,63
2019-09-08,66
2019-09-15,55
2019-09-22,83
2019-09-29,43
2019-10-06,58
2019-10-13,85
2019-10-20,55
2019-10-27,58
2019-11-03,29
2019-11-10,69
2019-11-17,73
2019-11-24,51
2019-12-01,49
2019-12-08,37
2019-12-15,40
2019-12-22,36
2019-12-29,40
2020-01-05,69
2020-01-12,71
2020-01-19,38
2020-01-26,60
2020-02-02,62
2020-02-09,53
2020-02-16,69
2020-02-23,86
2020-03-01,73
2020-03-08,72
