date,Sports_IL
2018-01-07,96
2018-01-14,81
2018-01-21,96
2018-01-28,90
2018-02-04,97
2018-02-11,88
2018-02-18,86
2018-02-25,89
2018-03-04,86
2018-03-11,92
2018-03-18,74
2018-03-25,67
2018-04-01,89
2018-04-08,100
2018-04-15,83
2018-04-22,87
2018-04-29,89
2018-05-06,85
2018-05-13,74
2018-05-20,80
2018-05-27,80
2018-06-03,74
2018-06-10,85
2018-06-17,86
2018-06-24,82
2018-07-01,81
2018-07-08,72
2018-07-15,68
2018-07-22,61
2018-07-29,77
2018-08-05,74
2018-08-12,85
2018-08-19,85
2018-08-26,90
2018-09-02,76
2018-09-09,80
2018-09-16,87
2018-09-23,91
2018-09-30,81
2018-10-07,78
2018-10-14,80
2018-10-21,81
2018-10-28,87
2018-11-04,88
2018-11-11,69
2018-11-18,66
2018-11-25,66
2018-12-02,79
2018-12-09,81
2018-12-16,81
2018-12-23,81
2018-12-30,84
2019-01-06,91
2019-01-13,92
2019-01-20,92
2019-01-27,69
2019-02-03,70
2019-02-10,59
2019-02-17,57
2019-02-24,62
2019-03-03,61
2019-03-10,60
2019-03-17,48
2019-03-24,51
2019-03-31,76
2019-04-07,72
2019-04-14,70
2019-04-21,78
2019-04-28,83
2019-05-05,82
2019-05-12,74
2019-05-19,75
2019-05-26,77
2019-06-02,75
2019-06-09,81
2019-06-16,76
2019-06-23,81
2019-06-30,81
2019-07-07,77
2019-07-14,81
2019-07-21,81
2019-07-28,80
2019-08-04,79
2019-08-11,79
2019-08-18,83
2019-08-25,89
2019-09-01,78
2019-09-08,79
2019-09-15,80
2019-09-22,89
2019-09-29,77
2019-10-06,75
2019-10-13,73
2019-10-20,86
2019-10-27,88
2019-11-03,86
2019-11-10,70
2019-11-17,74
2019-11-24,75
2019-12-01,85
2019-12-08,84
2019-12-15,86
2019-12-22,87
2019-12-29,70
2020-01-05,85
2020-01-12,93
2020-01-19,89
2020-01-26,86
2020-02-02,93
2020-02-09,81
2020-02-16,82
2020-02-23,84
2020-03-01,74
2020-03-08,64
