date,Pets_CA
2018-01-07,80
2018-01-14,84
2018-01-21,87
2018-01-28,84
2018-02-04,78
2018-02-11,73
2018-02-18,82
2018-02-25,80
2018-03-04,80
2018-03-11,79
2018-03-18,87
2018-03-25,83
2018-04-01,84
2018-04-08,80
2018-04-15,76
2018-04-22,77
2018-04-29,81
2018-05-06,76
2018-05-13,78
2018-05-20,84
2018-05-27,81
2018-06-03,76
2018-06-10,75
2018-06-17,75
2018-06-24,75
2018-07-01,83
2018-07-08,93
2018-07-15,85
2018-07-22,84
2018-07-29,90
2018-08-05,95
2018-08-12,87
2018-08-19,94
2018-08-26,88
2018-09-02,86
2018-09-09,81
2018-09-16,86
2018-09-23,83
2018-09-30,78
2018-10-07,73
2018-10-14,82
2018-10-21,75
2018-10-28,79
2018-11-04,78
2018-11-11,76
2018-11-18,86
2018-11-25,80
2018-12-02,83
2018-12-09,84
2018-12-16,86
2018-12-23,94
2018-12-30,84
2019-01-06,75
2019-01-13,80
2019-01-20,76
2019-01-27,81
2019-02-03,83
2019-02-10,75
2019-02-17,83
2019-02-24,77
2019-03-03,75
2019-03-10,85
2019-03-17,87
2019-03-24,88
2019-03-31,84
2019-04-07,86
2019-04-14,81
2019-04-21,82
2019-04-28,80
2019-05-05,82
2019-05-12,82
2019-05-19,86
2019-05-26,76
2019-06-02,77
2019-06-09,80
2019-06-16,90
2019-06-23,92
2019-06-30,91
2019-07-07,89
2019-07-14,88
2019-07-21,90
2019-07-28,84
2019-08-04,91
2019-08-11,96
2019-08-18,94
2019-08-25,100
2019-09-01,83
2019-09-08,84
2019-09-15,86
2019-09-22,86
2019-09-29,86
2019-10-06,77
2019-10-13,79
2019-10-20,79
2019-10-27,81
2019-11-03,85
2019-11-10,83
2019-11-17,84
2019-11-24,88
2019-12-01,93
2019-12-08,91
2019-12-15,97
2019-12-22,100
2019-12-29,92
2020-01-05,89
2020-01-12,81
2020-01-19,88
2020-01-26,92
2020-02-02,96
2020-02-09,86
2020-02-16,97
2020-02-23,93
2020-03-01,93
2020-03-08,83
