date,Pets_SG
2018-01-07,55
2018-01-14,61
2018-01-21,74
2018-01-28,71
2018-02-04,66
2018-02-11,66
2018-02-18,84
2018-02-25,65
2018-03-04,55
2018-03-11,74
2018-03-18,75
2018-03-25,70
2018-04-01,100
2018-04-08,71
2018-04-15,71
2018-04-22,64
2018-04-29,63
2018-05-06,69
2018-05-13,66
2018-05-20,56
2018-05-27,61
2018-06-03,54
2018-06-10,53
2018-06-17,58
2018-06-24,78
2018-07-01,73
2018-07-08,58
2018-07-15,61
2018-07-22,72
2018-07-29,74
2018-08-05,81
2018-08-12,75
2018-08-19,70
2018-08-26,76
2018-09-02,65
2018-09-09,68
2018-09-16,69
2018-09-23,59
2018-09-30,45
2018-10-07,52
2018-10-14,55
2018-10-21,70
2018-10-28,67
2018-11-04,68
2018-11-11,73
2018-11-18,61
2018-11-25,61
2018-12-02,79
2018-12-09,64
2018-12-16,66
2018-12-23,63
2018-12-30,58
2019-01-06,62
2019-01-13,53
2019-01-20,65
2019-01-27,49
2019-02-03,57
2019-02-10,51
2019-02-17,65
2019-02-24,54
2019-03-03,79
2019-03-10,54
2019-03-17,61
2019-03-24,61
2019-03-31,70
2019-04-07,91
2019-04-14,71
2019-04-21,59
2019-04-28,54
2019-05-05,72
2019-05-12,71
2019-05-19,64
2019-05-26,68
2019-06-02,66
2019-06-09,73
2019-06-16,73
2019-06-23,59
2019-06-30,67
2019-07-07,74
2019-07-14,68
2019-07-21,61
2019-07-28,52
2019-08-04,79
2019-08-11,74
2019-08-18,71
2019-08-25,48
2019-09-01,69
2019-09-08,65
2019-09-15,80
2019-09-22,68
2019-09-29,51
2019-10-06,66
2019-10-13,45
2019-10-20,78
2019-10-27,68
2019-11-03,81
2019-11-10,79
2019-11-17,60
2019-11-24,61
2019-12-01,71
2019-12-08,64
2019-12-15,57
2019-12-22,70
2019-12-29,74
2020-01-05,75
2020-01-12,71
2020-01-19,52
2020-01-26,77
2020-02-02,64
2020-02-09,69
2020-02-16,66
2020-02-23,76
2020-03-01,73
2020-03-08,68
