date,Collecting_RO
2018-01-07,0
2018-01-14,19
2018-01-21,0
2018-01-28,19
2018-02-04,19
2018-02-11,57
2018-02-18,19
2018-02-25,0
2018-03-04,0
2018-03-11,19
2018-03-18,37
2018-03-25,21
2018-04-01,23
2018-04-08,45
2018-04-15,0
2018-04-22,21
2018-04-29,0
2018-05-06,41
2018-05-13,0
2018-05-20,42
2018-05-27,0
2018-06-03,41
2018-06-10,0
2018-06-17,20
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,41
2018-07-29,0
2018-08-05,0
2018-08-12,22
2018-08-19,22
2018-08-26,21
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,21
2018-09-30,43
2018-10-07,66
2018-10-14,0
2018-10-21,41
2018-10-28,42
2018-11-04,41
2018-11-11,19
2018-11-18,0
2018-11-25,40
2018-12-02,20
2018-12-09,0
2018-12-16,21
2018-12-23,0
2018-12-30,43
2019-01-06,57
2019-01-13,38
2019-01-20,0
2019-01-27,0
2019-02-03,58
2019-02-10,38
2019-02-17,38
2019-02-24,20
2019-03-03,0
2019-03-10,100
2019-03-17,0
2019-03-24,82
2019-03-31,0
2019-04-07,0
2019-04-14,41
2019-04-21,23
2019-04-28,22
2019-05-05,20
2019-05-12,0
2019-05-19,20
2019-05-26,0
2019-06-02,20
2019-06-09,21
2019-06-16,42
2019-06-23,0
2019-06-30,0
2019-07-07,20
2019-07-14,63
2019-07-21,21
2019-07-28,42
2019-08-04,22
2019-08-11,21
2019-08-18,21
2019-08-25,0
2019-09-01,20
2019-09-08,21
2019-09-15,0
2019-09-22,20
2019-09-29,39
2019-10-06,20
2019-10-13,20
2019-10-20,19
2019-10-27,0
2019-11-03,18
2019-11-10,0
2019-11-17,36
2019-11-24,0
2019-12-01,37
2019-12-08,55
2019-12-15,57
2019-12-22,20
2019-12-29,20
2020-01-05,0
2020-01-12,0
2020-01-19,17
2020-01-26,17
2020-02-02,16
2020-02-09,17
2020-02-16,67
2020-02-23,0
2020-03-01,33
2020-03-08,33
