date,Crafts_AE
2018-01-07,50
2018-01-14,67
2018-01-21,75
2018-01-28,71
2018-02-04,61
2018-02-11,66
2018-02-18,76
2018-02-25,53
2018-03-04,42
2018-03-11,63
2018-03-18,50
2018-03-25,58
2018-04-01,62
2018-04-08,47
2018-04-15,73
2018-04-22,60
2018-04-29,54
2018-05-06,54
2018-05-13,61
2018-05-20,75
2018-05-27,39
2018-06-03,67
2018-06-10,52
2018-06-17,22
2018-06-24,51
2018-07-01,54
2018-07-08,23
2018-07-15,33
2018-07-22,33
2018-07-29,28
2018-08-05,62
2018-08-12,41
2018-08-19,41
2018-08-26,57
2018-09-02,46
2018-09-09,53
2018-09-16,62
2018-09-23,45
2018-09-30,49
2018-10-07,53
2018-10-14,90
2018-10-21,61
2018-10-28,45
2018-11-04,52
2018-11-11,60
2018-11-18,51
2018-11-25,47
2018-12-02,47
2018-12-09,35
2018-12-16,39
2018-12-23,28
2018-12-30,40
2019-01-06,49
2019-01-13,61
2019-01-20,43
2019-01-27,38
2019-02-03,65
2019-02-10,71
2019-02-17,42
2019-02-24,39
2019-03-03,52
2019-03-10,52
2019-03-17,100
2019-03-24,60
2019-03-31,20
2019-04-07,45
2019-04-14,71
2019-04-21,57
2019-04-28,44
2019-05-05,50
2019-05-12,31
2019-05-19,53
2019-05-26,68
2019-06-02,37
2019-06-09,26
2019-06-16,41
2019-06-23,48
2019-06-30,37
2019-07-07,37
2019-07-14,39
2019-07-21,26
2019-07-28,26
2019-08-04,26
2019-08-11,31
2019-08-18,32
2019-08-25,36
2019-09-01,49
2019-09-08,36
2019-09-15,60
2019-09-22,57
2019-09-29,67
2019-10-06,60
2019-10-13,54
2019-10-20,62
2019-10-27,58
2019-11-03,56
2019-11-10,75
2019-11-17,63
2019-11-24,59
2019-12-01,74
2019-12-08,37
2019-12-15,38
2019-12-22,40
2019-12-29,44
2020-01-05,54
2020-01-12,39
2020-01-19,50
2020-01-26,66
2020-02-02,42
2020-02-09,63
2020-02-16,46
2020-02-23,50
2020-03-01,50
2020-03-08,52
