date,Cooking_BD
2018-01-07,64
2018-01-14,45
2018-01-21,44
2018-01-28,56
2018-02-04,76
2018-02-11,82
2018-02-18,64
2018-02-25,47
2018-03-04,61
2018-03-11,76
2018-03-18,74
2018-03-25,64
2018-04-01,54
2018-04-08,49
2018-04-15,60
2018-04-22,55
2018-04-29,71
2018-05-06,44
2018-05-13,58
2018-05-20,100
2018-05-27,73
2018-06-03,84
2018-06-10,94
2018-06-17,62
2018-06-24,61
2018-07-01,68
2018-07-08,74
2018-07-15,49
2018-07-22,78
2018-07-29,66
2018-08-05,74
2018-08-12,75
2018-08-19,89
2018-08-26,52
2018-09-02,62
2018-09-09,63
2018-09-16,50
2018-09-23,75
2018-09-30,84
2018-10-07,93
2018-10-14,63
2018-10-21,47
2018-10-28,54
2018-11-04,61
2018-11-11,70
2018-11-18,74
2018-11-25,60
2018-12-02,59
2018-12-09,68
2018-12-16,63
2018-12-23,66
2018-12-30,59
2019-01-06,58
2019-01-13,55
2019-01-20,54
2019-01-27,64
2019-02-03,62
2019-02-10,66
2019-02-17,62
2019-02-24,68
2019-03-03,59
2019-03-10,44
2019-03-17,69
2019-03-24,76
2019-03-31,66
2019-04-07,56
2019-04-14,69
2019-04-21,65
2019-04-28,77
2019-05-05,46
2019-05-12,67
2019-05-19,65
2019-05-26,60
2019-06-02,64
2019-06-09,43
2019-06-16,37
2019-06-23,62
2019-06-30,74
2019-07-07,60
2019-07-14,45
2019-07-21,54
2019-07-28,68
2019-08-04,87
2019-08-11,68
2019-08-18,55
2019-08-25,63
2019-09-01,66
2019-09-08,63
2019-09-15,53
2019-09-22,71
2019-09-29,62
2019-10-06,66
2019-10-13,67
2019-10-20,72
2019-10-27,66
2019-11-03,36
2019-11-10,52
2019-11-17,50
2019-11-24,55
2019-12-01,56
2019-12-08,51
2019-12-15,59
2019-12-22,54
2019-12-29,58
2020-01-05,37
2020-01-12,44
2020-01-19,57
2020-01-26,70
2020-02-02,52
2020-02-09,49
2020-02-16,40
2020-02-23,39
2020-03-01,47
2020-03-08,40
